1,691,300
712,079
561,954
258,147
433,050
470,409
500,524
613,725
538,322
1,025,422
15,447,916
12,248,231
1,747,036
2,025,572
2,216,236
1,861,871
1,875,643
1,170,959
2,203,786
2,018,282
1,154,212
1,517,202
993,143
1,552,987
2,208,986
1,938,822
857,020
1,921,389
1,917,096
1,575,042
1,511,109
1,577,767
1,112,250
499,601
1,853,422
1,536,054
238,013
151,613
145,406
156,422
147,652
133,545
87,176
80,670
56,473
54,783
55,584
54,585
54,055
189,801
139,777
135,039
136,975
615,426
566,828
824,204
826,870
539,109
864,661
868,573
858,565
610,717
872,314
871,244
869,814
846,065
613,414
860,352
864,977
860,336
845,538
531,105
811,415
534,069
785,084
523,434
778,825
769,482
520,394
779,131
763,894
512,423
765,139
754,270
519,341
766,084
500,852
762,835
751,279
507,447
759,345
744,392
509,469
754,593
489,439
754,562
742,044
500,173
751,510
483,899
762,305
741,373
483,483
748,978
734,071
491,692
744,089
484,664
733,742
718,745
488,920
734,273
481,106
762,906
465,563
756,285
738,633
464,385
620,307
861,220
494,370
755,184
462,450
745,621
729,777
494,869
748,377
485,153
746,742
736,128
499,030
745,094
481,799
745,027
730,295
494,044
744,863
480,538
748,405
730,553
491,581
742,156
435,001
762,970
530,193
491,237
794,576
780,241
518,347
780,271
776,844
524,738
778,480
786,837
528,227
780,577
789,369
534,267
789,637
786,688
523,480
796,501
738,386
533,696
621,424
894,466
815,334
544,450
816,702
811,038
799,636
557,904
807,028
798,713
550,892
818,860
826,236
543,147
820,431
813,443
800,316
551,635
810,137
804,622
451,677
811,100
522,763
801,813
783,385
537,507
792,340
781,205
542,750
793,986
782,515
541,572
788,157
803,900
544,071
816,600
811,872
800,852
563,462
818,617
809,162
551,097
824,770
816,104
541,149
819,571
816,404
801,922
561,292
814,194
809,461
548,116
819,703
809,101
528,134
820,968
801,888
561,910
815,435
799,763
551,016
815,021
813,964
796,175
558,188
815,867
801,626
554,537
818,949
819,044
541,481
822,208
815,403
799,176
556,110
811,373
813,633
540,281
822,369
816,653
797,713
559,474
813,500
813,026
546,991
816,533
817,310
801,732
445,785
489,389
807,033
800,068
779,480
546,742
799,868
794,506
557,496
814,891
809,813
536,991
808,364
815,921
800,521
554,723
811,666
806,529
541,936
813,689
808,412
791,120
548,576
805,947
807,489
545,057
814,433
813,424
795,719
561,551
811,257
804,810
543,830
816,950
812,305
797,165
550,827
822,031
805,840
549,523
816,281
816,092
721,119
633,840
812,595
801,595
552,867
817,270
813,883
531,191
817,027
809,190
797,809
548,424
812,039
808,740
536,093
766,029
838,709
536,891
829,521
807,496
553,690
818,417
814,754
537,342
817,275
811,833
796,286
551,106
817,865
811,786
537,159
816,657
816,235
800,260
554,437
807,611
810,502
536,573
820,438
818,158
798,420
552,069
814,179
813,829
541,053
815,666
815,429
799,665
554,327
811,375
809,698
541,747
816,229
812,730
792,943
555,394
815,259
813,499
539,206
816,010
810,222
801,253
567,756
826,627
819,067
550,227
817,220
814,673
797,492
553,208
815,182
814,814
545,793
814,824
811,938
790,420
557,042
813,772
810,343
547,671
751,568
484,061
805,147
794,012
531,507
788,358
789,925
526,657
795,865
789,842
526,232
794,741
787,481
774,551
548,995
816,280
813,205
553,892
812,897
818,488
806,775
562,761
815,569
804,579
553,327
816,324
815,772
799,555
558,285
817,671
810,756
546,301
816,567
814,114
802,581
566,743
813,350
807,432
537,739
816,949
812,966
795,172
564,161
811,123
812,812
549,194
816,725
814,883
795,717
559,448
813,915
809,189
551,641
811,269
811,569
802,146
559,111
816,867
812,468
550,677
814,477
813,840
803,693
563,018
814,400
809,828
504,547
847,011
535,341
833,561
826,231
814,610
557,378
820,495
816,188
795,036
563,799
813,765
801,735
554,301
816,070
812,497
804,729
563,564
815,371
809,345
554,616
819,886
816,340
802,237
560,556
816,305
806,520
554,659
816,143
817,671
799,817
557,642
816,923
808,478
550,331
811,770
812,614
795,838
559,201
812,545
807,134
547,575
813,794
812,773
799,574
557,934
807,063
804,061
546,283
818,009
812,770
803,891
561,976
816,814
812,758
538,519
820,018
813,058
797,583
558,449
816,439
813,309
539,499
