#           time             counts unit events
     0.050114317         29,105,141      branches                                                    
     0.100323377         30,737,848      branches                                                    
     0.150488391         31,378,289      branches                                                    
     0.200674277         30,417,964      branches                                                    
     0.250833427         30,288,923      branches                                                    
     0.300953277         29,686,067      branches                                                    
     0.351120884         31,159,602      branches                                                    
     0.401239072         31,244,653      branches                                                    
     0.451399550         34,836,730      branches                                                    
     0.501526100         35,842,608      branches                                                    
     0.551681882         36,540,187      branches                                                    
     0.601806942         37,126,061      branches                                                    
     0.651973759         35,744,680      branches                                                    
     0.702141161         36,171,888      branches                                                    
     0.752308150         36,769,285      branches                                                    
     0.802473172         36,250,826      branches                                                    
     0.852640014         36,839,972      branches                                                    
     0.902753555         35,972,844      branches                                                    
     0.952866230         35,760,140      branches                                                    
     1.003022476         35,326,889      branches                                                    
     1.053205670         36,921,674      branches                                                    
     1.103365660         32,144,729      branches                                                    
     1.153535977         31,514,659      branches                                                    
     1.203694054         39,304,772      branches                                                    
     1.253820953         42,521,315      branches                                                    
#           time             counts unit events
     1.303980397         41,645,329      branches                                                    
     1.354147236         40,007,603      branches                                                    
     1.404316538         35,844,390      branches                                                    
     1.454484299         36,244,214      branches                                                    
     1.504647855         37,632,659      branches                                                    
     1.554813277         37,969,755      branches                                                    
     1.604937677         37,531,241      branches                                                    
     1.655102945         37,119,060      branches                                                    
     1.705226974         36,358,059      branches                                                    
     1.755381883         35,715,584      branches                                                    
     1.805506019         34,683,219      branches                                                    
     1.855669389         36,591,525      branches                                                    
     1.905824578         37,816,479      branches                                                    
     1.955989284         37,611,419      branches                                                    
     2.006111137         37,959,634      branches                                                    
     2.056276537         36,653,882      branches                                                    
     2.106441895         36,640,982      branches                                                    
     2.156608328         36,340,113      branches                                                    
     2.206793714         36,878,974      branches                                                    
     2.256907455         35,746,164      branches                                                    
     2.307064649         36,920,790      branches                                                    
     2.357190440         36,558,830      branches                                                    
     2.407358116         36,437,489      branches                                                    
     2.457529072         36,066,751      branches                                                    
     2.507687041         37,195,684      branches                                                    
#           time             counts unit events
     2.557799491         36,722,933      branches                                                    
     2.607955432         36,709,401      branches                                                    
     2.658121801         36,595,152      branches                                                    
     2.708287310         35,740,563      branches                                                    
     2.758454511         35,543,884      branches                                                    
     2.808623749         35,384,714      branches                                                    
     2.858815069         35,780,335      branches                                                    
     2.908929766         35,791,681      branches                                                    
     2.959085452         36,401,542      branches                                                    
     3.009208919         33,721,495      branches                                                    
     3.059363547         37,215,578      branches                                                    
     3.109529201         38,207,788      branches                                                    
     3.159698386         37,288,270      branches                                                    
     3.209871608         36,979,897      branches                                                    
     3.260023799         37,206,978      branches                                                    
     3.310192258         38,006,662      branches                                                    
     3.360349304         36,487,113      branches                                                    
     3.410503655         36,950,238      branches                                                    
     3.460672832         37,035,083      branches                                                    
     3.510840484         36,955,254      branches                                                    
     3.560952631         37,505,242      branches                                                    
     3.611108486         37,677,128      branches                                                    
     3.661276073         37,509,920      branches                                                    
     3.711431373         36,995,717      branches                                                    
     3.761557152         36,761,809      branches                                                    
#           time             counts unit events
     3.811712704         36,904,075      branches                                                    
     3.861836995         36,964,152      branches                                                    
     3.912007379         38,394,329      branches                                                    
     3.962173266         35,859,133      branches                                                    
     4.012339796         33,659,364      branches                                                    
     4.062507391         35,395,333      branches                                                    
     4.112661508         35,556,145      branches                                                    
     4.162838970         33,750,588      branches                                                    
     4.212962612         32,719,331      branches                                                    
     4.263119544         33,724,224      branches                                                    
     4.313288823         39,274,150      branches                                                    
     4.363458264         33,467,949      branches                                                    
     4.413576259         32,047,659      branches                                                    
     4.463743900         30,676,880      branches                                                    
     4.513899601         30,355,341      branches                                                    
     4.564065010         30,320,341      branches                                                    
     4.614230984         34,390,818      branches                                                    
     4.664396868         38,052,735      branches                                                    
     4.714562180         35,701,552      branches                                                    
     4.764697603         33,831,120      branches                                                    
     4.814860742         34,952,376      branches                                                    
     4.864984451         33,829,050      branches                                                    
     4.915140210         34,299,671      branches                                                    
     4.965264688         35,649,944      branches                                                    
     5.015420939         34,193,972      branches                                                    
#           time             counts unit events
     5.065588898         36,303,450      branches                                                    
     5.115755667         35,018,798      branches                                                    
     5.165909675         36,283,096      branches                                                    
     5.216077538         33,788,920      branches                                                    
     5.266243716         36,335,592      branches                                                    
     5.316408617         34,021,207      branches                                                    
     5.366531194         35,735,145      branches                                                    
     5.416677854         35,706,546      branches                                                    
     5.466834462         40,642,522      branches                                                    
     5.516971973         36,475,377      branches                                                    
     5.567108070         34,891,581      branches                                                    
     5.617212787         34,623,814      branches                                                    
     5.667364504         36,405,645      branches                                                    
     5.717501759         35,666,931      branches                                                    
     5.767654145         33,677,365      branches                                                    
     5.817779481         35,446,473      branches                                                    
     5.867933709         35,559,138      branches                                                    
     5.918056983         34,371,475      branches                                                    
     5.968170750         32,881,890      branches                                                    
     6.018326921         35,756,418      branches                                                    
     6.068491978         36,435,168      branches                                                    
     6.118657272         35,572,067      branches                                                    
     6.168823927         37,241,215      branches                                                    
     6.218990213         34,200,566      branches                                                    
     6.269115304         35,837,616      branches                                                    
#           time             counts unit events
     6.319270665         31,668,315      branches                                                    
     6.369435832         32,407,717      branches                                                    
     6.419590289         36,523,729      branches                                                    
     6.469761072         37,553,714      branches                                                    
     6.519913841         35,477,402      branches                                                    
     6.570067722         37,125,990      branches                                                    
     6.620233643         35,589,564      branches                                                    
     6.670388104         35,332,214      branches                                                    
     6.720554156         36,932,834      branches                                                    
     6.770720423         36,441,263      branches                                                    
     6.820830098         36,135,738      branches                                                    
     6.870984372         37,403,531      branches                                                    
     6.921106803         36,036,208      branches                                                    
     6.971272184         36,016,252      branches                                                    
     7.021437749         35,497,931      branches                                                    
     7.071605767         35,998,197      branches                                                    
     7.121773520         35,419,698      branches                                                    
     7.171927211         34,225,738      branches                                                    
     7.222086523         34,675,256      branches                                                    
     7.272240335         34,601,177      branches                                                    
     7.322410194         34,709,695      branches                                                    
     7.372575564         34,949,293      branches                                                    
