#           time             counts unit events
     0.050114054          3,481,238      branch-misses                                               
     0.100342578          3,628,589      branch-misses                                               
     0.150469477          3,677,285      branch-misses                                               
     0.200639424          3,489,888      branch-misses                                               
     0.250761305          3,503,570      branch-misses                                               
     0.300923103          3,862,867      branch-misses                                               
     0.351042880          3,532,964      branch-misses                                               
     0.401207111          3,303,496      branch-misses                                               
     0.451369692          3,254,077      branch-misses                                               
     0.501530776          3,225,890      branch-misses                                               
     0.551694150          3,289,809      branch-misses                                               
     0.601865400          3,295,467      branch-misses                                               
     0.652028990          3,313,705      branch-misses                                               
     0.702187171          3,264,584      branch-misses                                               
     0.752357743          3,175,955      branch-misses                                               
     0.802526599          3,271,317      branch-misses                                               
     0.852709818          3,164,601      branch-misses                                               
     0.902825521          3,245,461      branch-misses                                               
     0.953001768          3,223,898      branch-misses                                               
     1.003124295          3,202,643      branch-misses                                               
     1.053297469          3,262,873      branch-misses                                               
     1.103463055          2,854,917      branch-misses                                               
     1.153629484          2,639,255      branch-misses                                               
     1.203800596          2,572,281      branch-misses                                               
     1.253967513          2,553,816      branch-misses                                               
#           time             counts unit events
     1.304132934          2,441,171      branch-misses                                               
     1.354304072          2,442,950      branch-misses                                               
     1.404434248          2,635,486      branch-misses                                               
     1.454557224          3,275,913      branch-misses                                               
     1.504718260          3,212,148      branch-misses                                               
     1.554878778          2,981,446      branch-misses                                               
     1.605039841          3,041,732      branch-misses                                               
     1.655201578          3,098,760      branch-misses                                               
     1.705378104          3,153,877      branch-misses                                               
     1.755546131          3,180,896      branch-misses                                               
     1.805708823          3,331,605      branch-misses                                               
     1.855895451          3,300,313      branch-misses                                               
     1.906061306          3,262,927      branch-misses                                               
     1.956222697          3,121,879      branch-misses                                               
     2.006402923          3,063,895      branch-misses                                               
     2.056566919          3,074,011      branch-misses                                               
     2.106731370          3,060,576      branch-misses                                               
     2.156895803          3,259,191      branch-misses                                               
     2.207068410          3,250,726      branch-misses                                               
     2.257232663          3,232,929      branch-misses                                               
     2.307397658          3,160,631      branch-misses                                               
     2.357558266          3,304,515      branch-misses                                               
     2.407739983          3,128,813      branch-misses                                               
     2.457910820          3,207,741      branch-misses                                               
     2.508072090          3,209,176      branch-misses                                               
#           time             counts unit events
     2.558246838          3,228,240      branch-misses                                               
     2.608416813          3,139,929      branch-misses                                               
     2.658576189          3,179,459      branch-misses                                               
     2.708745274          3,215,151      branch-misses                                               
     2.758915738          3,216,257      branch-misses                                               
     2.809084462          3,277,552      branch-misses                                               
     2.859244473          3,287,558      branch-misses                                               
     2.909367243          3,303,493      branch-misses                                               
     2.959539455          3,206,542      branch-misses                                               
     3.009706102          3,182,904      branch-misses                                               
     3.059872525          3,210,271      branch-misses                                               
     3.110038870          3,285,161      branch-misses                                               
     3.160206395          3,179,432      branch-misses                                               
     3.210374558          3,111,439      branch-misses                                               
     3.260539121          3,066,481      branch-misses                                               
     3.310669146          3,125,847      branch-misses                                               
     3.360836514          3,136,657      branch-misses                                               
     3.411003560          3,096,076      branch-misses                                               
     3.461129320          3,096,734      branch-misses                                               
     3.511254912          3,149,572      branch-misses                                               
     3.561422164          3,148,842      branch-misses                                               
     3.611591999          3,125,331      branch-misses                                               
     3.661716940          3,120,154      branch-misses                                               
     3.711879329          3,050,111      branch-misses                                               
     3.762047528          3,104,506      branch-misses                                               
#           time             counts unit events
     3.812162713          3,071,420      branch-misses                                               
     3.862280244          3,130,847      branch-misses                                               
     3.912390716          3,090,711      branch-misses                                               
     3.962487178          3,098,218      branch-misses                                               
     4.012586744          3,134,257      branch-misses                                               
     4.062681394          3,049,892      branch-misses                                               
     4.112775925          3,085,980      branch-misses                                               
     4.162875662          3,311,093      branch-misses                                               
     4.212976798          3,436,922      branch-misses                                               
     4.263070013          2,882,973      branch-misses                                               
     4.313172316          3,450,927      branch-misses                                               
     4.363273574          3,619,616      branch-misses                                               
     4.413375833          3,589,503      branch-misses                                               
     4.463486030          3,237,052      branch-misses                                               
     4.513586548          2,234,515      branch-misses                                               
     4.563691368          3,119,651      branch-misses                                               
     4.613795698          3,497,257      branch-misses                                               
     4.663909066          3,499,555      branch-misses                                               
     4.714015802          3,916,620      branch-misses                                               
     4.764116026          3,937,910      branch-misses                                               
     4.814216229          3,244,595      branch-misses                                               
     4.864314445          2,865,915      branch-misses                                               
     4.914412249          2,840,272      branch-misses                                               
     4.964508448          3,430,843      branch-misses                                               
     5.014615926          3,313,063      branch-misses                                               
#           time             counts unit events
     5.064716707          3,470,591      branch-misses                                               
     5.114818049          3,255,523      branch-misses                                               
     5.164924712          3,321,267      branch-misses                                               
     5.215025567          3,187,365      branch-misses                                               
     5.265136372          3,470,622      branch-misses                                               
     5.315241437          3,165,094      branch-misses                                               
     5.365395641          3,479,003      branch-misses                                               
     5.415496803          3,207,132      branch-misses                                               
     5.465597560          3,483,317      branch-misses                                               
     5.515697412          3,226,458      branch-misses                                               
     5.565802485          3,444,032      branch-misses                                               
     5.615903488          3,255,075      branch-misses                                               
     5.666003592          3,297,213      branch-misses                                               
     5.716108848          2,917,721      branch-misses                                               
     5.766206029          2,957,848      branch-misses                                               
     5.816302011          3,335,657      branch-misses                                               
     5.866409385          3,339,688      branch-misses                                               
     5.916508380          3,358,092      branch-misses                                               
     5.966606535          3,276,750      branch-misses                                               
     6.016712755          3,260,907      branch-misses                                               
     6.066815203          3,564,559      branch-misses                                               
     6.116918134          3,201,563      branch-misses                                               
     6.167021926          3,256,129      branch-misses                                               
     6.217121665          3,461,596      branch-misses                                               
     6.267231692          3,329,974      branch-misses                                               
#           time             counts unit events
     6.317332676          3,233,029      branch-misses                                               
     6.367439138          3,270,031      branch-misses                                               
     6.417548104          3,332,779      branch-misses                                               
     6.467654838          3,182,644      branch-misses                                               
     6.517762826          3,409,306      branch-misses                                               
     6.567864802          2,943,228      branch-misses                                               
     6.617965892          3,026,915      branch-misses                                               
     6.668070513          3,522,119      branch-misses                                               
     6.718171199          3,000,404      branch-misses                                               
     6.768270220          3,103,085      branch-misses                                               
     6.818371124          3,187,404      branch-misses                                               
     6.868481260          3,268,472      branch-misses                                               
     6.918588418          3,208,715      branch-misses                                               
     6.968688015          3,452,449      branch-misses                                               
     7.018790451          3,224,860      branch-misses                                               
     7.068891151          3,091,626      branch-misses                                               
     7.118994791          3,185,855      branch-misses                                               
     7.169093460          3,278,920      branch-misses                                               
     7.219205101          3,097,240      branch-misses                                               
     7.269307430          3,276,752      branch-misses                                               
     7.319409822          3,200,179      branch-misses                                               
     7.369509905          3,341,421      branch-misses                                               
     7.419620754          3,279,034      branch-misses                                               
     7.469725873          3,361,167      branch-misses                                               
     7.519824849          3,449,624      branch-misses                                               
#           time             counts unit events
     7.569928442          3,377,030      branch-misses                                               
     7.620035907          3,407,552      branch-misses                                               
     7.670138851          3,410,270      branch-misses                                               
     7.720242243          3,272,577      branch-misses                                               
     7.770342373          3,384,026      branch-misses                                               
     7.820455288          3,366,982      branch-misses                                               
     7.870566267          3,465,765      branch-misses                                               
