#           time             counts unit events
     0.050119004        182,078,194      cycles                                                      
     0.100278446        187,210,113      cycles                                                      
     0.150453247        185,254,210      cycles                                                      
     0.200622142        185,558,288      cycles                                                      
     0.250786227        185,650,950      cycles                                                      
     0.300953060        183,606,388      cycles                                                      
     0.351098285        181,778,605      cycles                                                      
     0.401273606        183,432,332      cycles                                                      
     0.451435924        184,624,849      cycles                                                      
     0.501595904        187,323,179      cycles                                                      
     0.551756222        183,927,499      cycles                                                      
     0.601918319        189,307,038      cycles                                                      
     0.652071364        191,130,282      cycles                                                      
     0.702244799        182,742,734      cycles                                                      
     0.752357969        184,954,841      cycles                                                      
     0.802514524        183,451,549      cycles                                                      
     0.852684187        184,211,057      cycles                                                      
     0.902866038        183,439,135      cycles                                                      
     0.953039262        181,348,504      cycles                                                      
     1.003214007        182,559,672      cycles                                                      
     1.053369990        181,790,904      cycles                                                      
     1.103529958        181,811,887      cycles                                                      
     1.153692886        181,624,483      cycles                                                      
     1.203861718        181,600,379      cycles                                                      
     1.254029085        182,550,129      cycles                                                      
#           time             counts unit events
     1.304188134        182,611,645      cycles                                                      
     1.354349961        181,816,787      cycles                                                      
     1.404526891        181,597,453      cycles                                                      
     1.454688811        181,038,952      cycles                                                      
     1.504848816        180,151,932      cycles                                                      
     1.555014168        180,158,725      cycles                                                      
     1.605190116        180,180,399      cycles                                                      
     1.655351018        180,154,791      cycles                                                      
     1.705509138        180,146,371      cycles                                                      
     1.755666853        180,146,953      cycles                                                      
     1.805839314        180,192,636      cycles                                                      
     1.856012906        180,199,180      cycles                                                      
     1.906171253        180,144,872      cycles                                                      
     1.956328623        180,142,833      cycles                                                      
     2.006535750        180,323,553      cycles                                                      
     2.056714059        179,515,656      cycles                                                      
     2.106871644        180,146,279      cycles                                                      
     2.157032864        180,152,264      cycles                                                      
     2.207143651        179,831,389      cycles                                                      
     2.257307801        180,167,274      cycles                                                      
     2.307419481        179,980,665      cycles                                                      
     2.357578973        180,058,964      cycles                                                      
     2.407689129        179,975,665      cycles                                                      
     2.457850132        180,151,792      cycles                                                      
     2.507960842        179,978,253      cycles                                                      
#           time             counts unit events
     2.558124909        180,162,800      cycles                                                      
     2.608239655        179,949,160      cycles                                                      
     2.658400284        180,151,395      cycles                                                      
     2.708556438        180,137,601      cycles                                                      
     2.758727347        180,061,304      cycles                                                      
     2.808905353        180,216,054      cycles                                                      
     2.859063759        180,138,807      cycles                                                      
     2.909201124        180,067,653      cycles                                                      
     2.959334138        179,959,309      cycles                                                      
     3.009470148        180,063,654      cycles                                                      
     3.059602982        179,957,554      cycles                                                      
     3.109745382        180,090,729      cycles                                                      
     3.159891068        180,080,801      cycles                                                      
     3.210025482        180,059,226      cycles                                                      
     3.260159785        180,059,400      cycles                                                      
     3.310294477        180,073,260      cycles                                                      
     3.360436569        180,078,651      cycles                                                      
     3.410585860        180,113,926      cycles                                                      
     3.460748452        180,162,840      cycles                                                      
     3.510901702        180,126,309      cycles                                                      
     3.561049442        180,104,311      cycles                                                      
     3.611204854        180,104,156      cycles                                                      
     3.661353359        180,027,747      cycles                                                      
     3.711516904        180,168,139      cycles                                                      
     3.761669144        180,125,557      cycles                                                      
#           time             counts unit events
     3.811821072        180,119,721      cycles                                                      
     3.861978966        180,049,851      cycles                                                      
     3.912088198        179,974,362      cycles                                                      
     3.962252384        179,996,346      cycles                                                      
     4.012420192        180,082,502      cycles                                                      
     4.062586504        180,174,834      cycles                                                      
     4.112747590        180,154,695      cycles                                                      
     4.162909330        180,157,476      cycles                                                      
     4.213078307        180,183,951      cycles                                                      
     4.263244617        180,177,171      cycles                                                      
     4.313416017        180,190,131      cycles                                                      
     4.363534198        179,999,874      cycles                                                      
     4.413704744        180,195,209      cycles                                                      
     4.463821809        179,998,753      cycles                                                      
     4.513999567        180,211,370      cycles                                                      
     4.564119983        180,011,199      cycles                                                      
     4.614289640        180,159,604      cycles                                                      
     4.664411484        180,011,010      cycles                                                      
     4.714580983        180,184,494      cycles                                                      
     4.764746927        180,171,098      cycles                                                      
     4.814918928        180,193,908      cycles                                                      
     4.865034661        179,996,223      cycles                                                      
     4.915156184        180,013,258      cycles                                                      
     4.965324513        180,042,336      cycles                                                      
     5.015448326        180,023,742      cycles                                                      
#           time             counts unit events
     5.065568742        180,011,241      cycles                                                      
     5.115696952        180,033,898      cycles                                                      
     5.165818310        180,008,903      cycles                                                      
     5.215993806        180,205,443      cycles                                                      
     5.266159968        180,174,444      cycles                                                      
     5.316326015        180,172,704      cycles                                                      
     5.366494706        180,066,254      cycles                                                      
     5.416684187        180,256,016      cycles                                                      
     5.466853617        180,189,227      cycles                                                      
     5.517027908        180,200,643      cycles                                                      
     5.567148278        180,009,565      cycles                                                      
     5.617324361        180,176,462      cycles                                                      
     5.667502719        180,219,534      cycles                                                      
     5.717677737        180,206,070      cycles                                                      
     5.767799077        180,010,325      cycles                                                      
     5.817973101        180,202,554      cycles                                                      
     5.868151717        180,220,529      cycles                                                      
     5.918283333        180,063,355      cycles                                                      
     5.968464024        180,210,527      cycles                                                      
     6.018633124        180,229,195      cycles                                                      
     6.068838052        180,267,695      cycles                                                      
     6.119005700        180,178,552      cycles                                                      
     6.169194642        180,258,564      cycles                                                      
     6.219363881        180,181,251      cycles                                                      
     6.269535668        180,193,971      cycles                                                      
#           time             counts unit events
     6.319674956        180,084,774      cycles                                                      
     6.369820913        180,004,377      cycles                                                      
     6.419940925        180,001,994      cycles                                                      
     6.470038455        179,927,916      cycles                                                      
     6.520139512        179,939,971      cycles                                                      
     6.570244737        179,955,851      cycles                                                      
     6.620349682        179,903,549      cycles                                                      
     6.670450537        179,953,029      cycles                                                      
     6.720553665        179,931,765      cycles                                                      
     6.770655678        179,945,825      cycles                                                      
     6.820760099        179,951,348      cycles                                                      
     6.870871778        179,985,526      cycles                                                      
     6.920980763        179,958,491      cycles                                                      
     6.971081751        179,841,015      cycles                                                      
     7.021193255        180,026,912      cycles                                                      
     7.071332403        180,031,344      cycles                                                      
     7.121436464        179,945,329      cycles                                                      
     7.171546624        179,953,409      cycles                                                      
     7.221655122        179,968,637      cycles                                                      
     7.271762543        179,980,533      cycles                                                      
     7.321866861        179,930,589      cycles                                                      
     7.371969514        179,945,055      cycles                                                      
     7.422074402        179,954,928      cycles                                                      
     7.472180614        179,960,194      cycles                                                      
     7.522285571        179,953,410      cycles                                                      
#           time             counts unit events
     7.572397076        179,978,673      cycles                                                      
     7.622506847        179,930,400      cycles                                                      
     7.672610885        179,949,687      cycles                                                      
     7.722711398        179,938,084      cycles                                                      
     7.772817797        179,959,245      cycles                                                      
     7.822925605        179,964,382      cycles                                                      
     7.873027400        179,945,706      cycles                                                      
     7.923131022        179,946,021      cycles                                                      
     7.973232830        179,943,968      cycles                                                      
     8.023341462        179,971,543      cycles                                                      
     8.073446741        179,955,575      cycles                                                      
     8.123550509        179,943,600      cycles                                                      
     8.173657430        179,961,604      cycles                                                      
     8.223764262        179,957,978      cycles                                                      
     8.273866330        179,947,053      cycles                                                      
     8.323970367        179,950,042      cycles                                                      
     8.374084138        179,992,244      cycles                                                      
     8.424186808        179,935,206      cycles                                                      
     8.474283374        179,931,500      cycles                                                      
     8.524393384        179,967,672      cycles                                                      
     8.574503885        179,974,476      cycles                                                      
     8.624616127        179,939,079      cycles                                                      
     8.674713316        179,926,154      cycles                                                      
     8.724821310        179,966,739      cycles                                                      
     8.774920773        179,932,340      cycles                                                      
#           time             counts unit events
     8.825018693        179,931,620      cycles                                                      
     8.875124818        179,959,138      cycles                                                      
     8.925252980        180,059,268      cycles                                                      
     8.975406967        180,007,812      cycles                                                      
     9.025527765        180,009,738      cycles                                                      
     9.075628969        179,940,288      cycles                                                      
     9.125729768        179,936,508      cycles                                                      
     9.175831526        179,943,014      cycles                                                      
     9.225933066        179,940,349      cycles                                                      
     9.276032011        179,932,665      cycles                                                      
     9.326138364        179,960,561      cycles                                                      
     9.376241540        179,948,469      cycles                                                      
     9.426344666        179,945,360      cycles                                                      
     9.476441719        179,927,630      cycles                                                      
     9.526538197        179,922,848      cycles                                                      
     9.576639462        179,935,934      cycles                                                      
     9.626741037        179,893,833      cycles                                                      
     9.676839702        179,933,112      cycles                                                      
     9.726941015        179,939,835      cycles                                                      
     9.777040101        179,934,211      cycles                                                      
     9.827141361        179,936,896      cycles                                                      
     9.877244614        179,954,391      cycles                                                      
     9.927341159        179,918,076      cycles                                                      
     9.977436016        179,921,165      cycles                                                      
    10.027539894        179,951,281      cycles                                                      
#           time             counts unit events
    10.077649469        179,971,118      cycles                                                      
    10.127756532        179,965,218      cycles                                                      
    10.177880025        180,011,870      cycles                                                      
    10.227984356        179,949,328      cycles                                                      
    10.278090846        179,962,608      cycles                                                      
    10.328202338        179,982,397      cycles                                                      
    10.378302654        179,932,671      cycles                                                      
    10.428412609        179,968,915      cycles                                                      
    10.478513259        179,941,474      cycles                                                      
    10.528615475        179,941,683      cycles                                                      
    10.578715297        179,936,606      cycles                                                      
    10.628816834        179,905,093      cycles                                                      
    10.678923018        179,963,136      cycles                                                      
    10.729033361        179,980,000      cycles                                                      
    10.779136955        179,940,202      cycles                                                      
    10.829241992        179,950,858      cycles                                                      
    10.879348924        179,960,101      cycles                                                      
    10.929457594        179,972,871      cycles                                                      
    10.979553528        179,812,133      cycles                                                      
    11.029656835        179,945,579      cycles                                                      
    11.079756435        179,934,756      cycles                                                      
    11.129852731        179,923,626      cycles                                                      
    11.179955270        179,921,718      cycles                                                      
    11.230055527        179,937,552      cycles                                                      
    11.280162859        179,963,032      cycles                                                      
#           time             counts unit events
    11.330265028        179,945,507      cycles                                                      
    11.380380357        179,989,393      cycles                                                      
    11.430512305        180,056,209      cycles                                                      
    11.480626928        179,983,032      cycles                                                      
    11.530723965        179,926,794      cycles                                                      
    11.580825855        179,943,166      cycles                                                      
    11.630932262        179,903,276      cycles                                                      
    11.681037762        179,953,866      cycles                                                      
    11.731137616        179,933,566      cycles                                                      
    11.781236001        179,929,200      cycles                                                      
    11.831335960        179,936,509      cycles                                                      
    11.881438002        179,948,190      cycles                                                      
    11.931544280        179,956,065      cycles                                                      
    11.981645929        179,940,626      cycles                                                      
    12.031753276        179,966,868      cycles                                                      
    12.081881957        180,033,747      cycles                                                      
    12.131983144        179,942,907      cycles                                                      
    12.182088807        179,953,269      cycles                                                      
    12.232214567        180,030,945      cycles                                                      
    12.282327317        179,979,904      cycles                                                      
    12.332426440        179,935,457      cycles                                                      
    12.382535688        179,968,425      cycles                                                      
    12.432639208        179,948,975      cycles                                                      
    12.482758844        180,006,562      cycles                                                      
    12.532851332        179,931,215      cycles                                                      
#           time             counts unit events
    12.582962798        179,955,861      cycles                                                      
    12.633066272        179,883,177      cycles                                                      
    12.683181716        179,988,945      cycles                                                      
    12.733281666        179,938,197      cycles                                                      
    12.783384466        179,943,721      cycles                                                      
    12.833496858        179,998,315      cycles                                                      
    12.883608423        179,956,838      cycles                                                      
    12.933705103        179,925,568      cycles                                                      
    12.983813012        179,860,274      cycles                                                      
    13.033922213        179,962,596      cycles                                                      
    13.084021481        179,936,217      cycles                                                      
    13.134122528        179,941,988      cycles                                                      
    13.184227546        179,952,195      cycles                                                      
    13.234330707        179,950,026      cycles                                                      
    13.284437451        179,962,507      cycles                                                      
    13.334541413        179,946,431      cycles                                                      
    13.384642436        179,941,773      cycles                                                      
    13.434741626        179,928,413      cycles                                                      
    13.484841730        179,935,435      cycles                                                      
    13.534934251        179,912,862      cycles                                                      
    13.585037202        179,943,915      cycles                                                      
    13.635137971        179,896,942      cycles                                                      
    13.685238288        179,939,278      cycles                                                      
    13.735337654        179,935,794      cycles                                                      
    13.785438081        179,936,163      cycles                                                      
#           time             counts unit events
    13.835539729        179,941,753      cycles                                                      
    13.885642907        179,951,025      cycles                                                      
    13.935751459        179,965,746      cycles                                                      
    13.985849046        179,927,370      cycles                                                      
    14.035978869        180,047,142      cycles                                                      
    14.086080208        179,938,638      cycles                                                      
    14.136175269        179,915,648      cycles                                                      
    14.186272035        179,926,924      cycles                                                      
    14.236379210        179,958,411      cycles                                                      
    14.286479144        179,938,111      cycles                                                      
    14.336583178        179,948,722      cycles                                                      
    14.386686856        179,952,717      cycles                                                      
    14.436788793        179,951,622      cycles                                                      
    14.486889310        179,929,585      cycles                                                      
    14.536985363        179,919,562      cycles                                                      
    14.587087282        179,902,100      cycles                                                      
    14.637192119        179,954,043      cycles                                                      
    14.687295812        179,946,963      cycles                                                      
    14.737399277        179,955,471      cycles                                                      
    14.787511748        179,978,688      cycles                                                      
    14.837622205        179,971,786      cycles                                                      
    14.887733807        179,978,301      cycles                                                      
    14.937832723        179,932,903      cycles                                                      
    14.987931767        179,807,897      cycles                                                      
    15.038037429        179,957,199      cycles                                                      
#           time             counts unit events
    15.088140172        179,943,396      cycles                                                      
    15.138247855        179,963,950      cycles                                                      
    15.188348755        179,912,290      cycles                                                      
    15.238460002        179,974,262      cycles                                                      
    15.288556833        179,927,343      cycles                                                      
    15.338653480        179,925,957      cycles                                                      
    15.388752159        179,928,892      cycles                                                      
    15.438859755        179,961,814      cycles                                                      
    15.488970313        179,972,988      cycles                                                      
    15.539034234        179,810,237      cycles                                                      
    15.589131890        179,929,378      cycles                                                      
    15.639233553        179,899,680      cycles                                                      
    15.689334567        179,939,552      cycles                                                      
    15.739430498        179,920,012      cycles                                                      
    15.789523699        179,915,399      cycles                                                      
    15.839626161        179,950,236      cycles                                                      
    15.889738343        179,975,609      cycles                                                      
    15.939843374        179,954,145      cycles                                                      
    15.989941336        179,933,451      cycles                                                      
    16.040052971        179,977,428      cycles                                                      
    16.090163284        179,971,098      cycles                                                      
    16.140265449        179,942,410      cycles                                                      
    16.190369933        179,948,718      cycles                                                      
    16.240470571        179,940,538      cycles                                                      
    16.290569551        179,933,029      cycles                                                      
#           time             counts unit events
    16.340669717        179,936,477      cycles                                                      
    16.390774122        179,952,124      cycles                                                      
    16.440872742        179,928,473      cycles                                                      
    16.490973319        179,936,625      cycles                                                      
    16.541071661        179,933,188      cycles                                                      
    16.591170752        179,936,660      cycles                                                      
    16.641273789        179,897,272      cycles                                                      
    16.691375167        179,941,158      cycles                                                      
    16.741470206        179,917,888      cycles                                                      
    16.791564510        179,918,640      cycles                                                      
    16.841665727        179,935,219      cycles                                                      
    16.891763928        179,931,755      cycles                                                      
    16.941856822        179,911,768      cycles                                                      
    16.991952183        179,804,984      cycles                                                      
    17.042057449        179,953,010      cycles                                                      
    17.092159251        179,945,917      cycles                                                      
    17.142270592        179,976,513      cycles                                                      
    17.192371616        179,935,256      cycles                                                      
    17.242481262        179,970,585      cycles                                                      
    17.292583124        179,946,141      cycles                                                      
    17.342682456        179,934,466      cycles                                                      
    17.392792356        179,971,007      cycles                                                      
    17.442893679        179,938,344      cycles                                                      
    17.492993090        179,941,149      cycles                                                      
    17.543092469        179,932,806      cycles                                                      
#           time             counts unit events
    17.593190886        179,923,707      cycles                                                      
    17.643293592        179,948,983      cycles                                                      
    17.693397847        179,948,048      cycles                                                      
    17.743498167        179,938,534      cycles                                                      
    17.793601853        179,951,562      cycles                                                      
    17.843716384        179,988,401      cycles                                                      
    17.893822045        179,953,389      cycles                                                      
    17.943922931        179,940,004      cycles                                                      
    17.994020907        179,928,935      cycles                                                      
    18.044135050        179,984,310      cycles                                                      
    18.094236370        179,956,414      cycles                                                      
    18.144346805        179,960,603      cycles                                                      
    18.194450208        179,949,018      cycles                                                      
    18.244551294        179,905,332      cycles                                                      
    18.294652336        179,942,769      cycles                                                      
    18.344752426        179,936,700      cycles                                                      
    18.394855572        179,945,100      cycles                                                      
    18.444957115        179,943,816      cycles                                                      
    18.495056529        179,929,266      cycles                                                      
    18.545153420        179,930,172      cycles                                                      
    18.595277855        180,020,735      cycles                                                      
    18.645381843        179,948,749      cycles                                                      
    18.695498416        180,000,893      cycles                                                      
    18.745600830        179,942,605      cycles                                                      
    18.795725027        180,026,184      cycles                                                      
#           time             counts unit events
    18.845827331        179,937,669      cycles                                                      
    18.895931183        179,954,238      cycles                                                      
    18.946035491        179,950,614      cycles                                                      
    18.996135843        179,856,486      cycles                                                      
    19.046240952        179,952,316      cycles                                                      
    19.096342278        179,943,362      cycles                                                      
    19.146444113        179,941,935      cycles                                                      
    19.196542435        179,928,959      cycles                                                      
    19.246645690        179,918,201      cycles                                                      
    19.296747063        179,921,126      cycles                                                      
    19.346847573        179,940,746      cycles                                                      
    19.396948832        179,938,385      cycles                                                      
    19.447048989        179,937,433      cycles                                                      
    19.497155611        179,956,568      cycles                                                      
    19.547263987        179,974,947      cycles                                                      
    19.597363561        179,932,452      cycles                                                      
    19.647469346        179,952,156      cycles                                                      
    19.697571384        179,941,694      cycles                                                      
    19.747669637        179,933,210      cycles                                                      
    19.797771471        179,941,373      cycles                                                      
    19.847883534        179,976,954      cycles                                                      
    19.897986095        179,947,926      cycles                                                      
    19.948091449        179,954,926      cycles                                                      
    19.998195601        179,954,912      cycles                                                      
    20.048298948        179,943,453      cycles                                                      
#           time             counts unit events
    20.098394080        179,918,595      cycles                                                      
    20.148495778        179,941,310      cycles                                                      
    20.198599468        179,948,894      cycles                                                      
    20.248699349        179,900,901      cycles                                                      
    20.298803647        179,953,605      cycles                                                      
    20.348909068        179,952,351      cycles                                                      
    20.399018955        179,993,632      cycles                                                      
    20.449149970        180,031,995      cycles                                                      
    20.499260445        179,969,479      cycles                                                      
    20.549362187        179,942,534      cycles                                                      
    20.599471782        179,967,384      cycles                                                      
    20.649571177        179,933,343      cycles                                                      
    20.699676574        179,970,462      cycles                                                      
    20.749805629        180,047,267      cycles                                                      
    20.799913258        179,939,217      cycles                                                      
    20.850012344        179,934,076      cycles                                                      
    20.900114486        179,941,733      cycles                                                      
    20.950219232        179,959,179      cycles                                                      
    21.000316953        179,927,152      cycles                                                      
    21.050417379        179,938,122      cycles                                                      
    21.100518310        179,934,875      cycles                                                      
    21.150619927        179,942,830      cycles                                                      
    21.200719515        179,936,966      cycles                                                      
    21.250830341        179,934,304      cycles                                                      
    21.300933533        179,947,917      cycles                                                      
#           time             counts unit events
    21.351037137        179,946,620      cycles                                                      
    21.401143362        179,967,237      cycles                                                      
    21.451243869        179,931,285      cycles                                                      
    21.501343232        179,932,690      cycles                                                      
    21.551461538        180,001,373      cycles                                                      
    21.601568718        179,965,527      cycles                                                      
    21.651670306        179,939,321      cycles                                                      
    21.701773753        179,949,436      cycles                                                      
    21.751881169        179,972,253      cycles                                                      
