#           time             counts unit events
     0.050120757          3,531,053      branch-misses                                               
     0.100285824          3,582,963      branch-misses                                               
     0.150444270          3,640,228      branch-misses                                               
     0.200567460          3,435,663      branch-misses                                               
     0.250724469          3,422,460      branch-misses                                               
     0.300836133          3,809,935      branch-misses                                               
     0.350998040          3,529,571      branch-misses                                               
     0.401170440          3,309,985      branch-misses                                               
     0.451337005          3,184,724      branch-misses                                               
     0.501493758          3,214,560      branch-misses                                               
     0.551649795          3,225,533      branch-misses                                               
     0.601828023          3,209,901      branch-misses                                               
     0.651995119          3,233,146      branch-misses                                               
     0.702150554          3,290,275      branch-misses                                               
     0.752312759          3,157,359      branch-misses                                               
     0.802477507          3,251,254      branch-misses                                               
     0.852638422          3,146,969      branch-misses                                               
     0.902798577          3,259,388      branch-misses                                               
     0.952968296          3,195,170      branch-misses                                               
     1.003128420          3,208,372      branch-misses                                               
     1.053282836          3,261,449      branch-misses                                               
     1.103446034          2,772,515      branch-misses                                               
     1.153606201          2,882,602      branch-misses                                               
     1.203729462          2,522,463      branch-misses                                               
     1.253892559          2,556,438      branch-misses                                               
#           time             counts unit events
     1.304051708          2,440,913      branch-misses                                               
     1.354213096          2,446,956      branch-misses                                               
     1.404336310          2,482,179      branch-misses                                               
     1.454505037          3,247,041      branch-misses                                               
     1.504661803          3,249,967      branch-misses                                               
     1.554819878          3,030,079      branch-misses                                               
     1.604976768          3,041,917      branch-misses                                               
     1.655132979          3,065,699      branch-misses                                               
     1.705293681          3,152,949      branch-misses                                               
     1.755453707          2,738,776      branch-misses                                               
     1.805608696          2,209,715      branch-misses                                               
     1.855725909          3,004,282      branch-misses                                               
     1.905884004          3,428,400      branch-misses                                               
     1.956000866          3,171,826      branch-misses                                               
     2.006168404          3,098,988      branch-misses                                               
     2.056282182          3,060,083      branch-misses                                               
     2.106442435          3,071,736      branch-misses                                               
     2.156600217          3,078,098      branch-misses                                               
     2.206769929          3,329,626      branch-misses                                               
     2.256884012          3,208,406      branch-misses                                               
     2.307052849          3,240,956      branch-misses                                               
     2.357223211          3,188,674      branch-misses                                               
     2.407388559          3,278,601      branch-misses                                               
     2.457554718          3,112,048      branch-misses                                               
     2.507673738          3,258,263      branch-misses                                               
#           time             counts unit events
     2.557843494          3,177,963      branch-misses                                               
     2.607955729          3,217,108      branch-misses                                               
     2.658122756          3,149,307      branch-misses                                               
     2.708280855          3,195,032      branch-misses                                               
     2.758440455          3,229,614      branch-misses                                               
     2.808553657          3,221,215      branch-misses                                               
     2.858718501          3,307,886      branch-misses                                               
     2.908881414          3,305,888      branch-misses                                               
     2.959050937          3,320,993      branch-misses                                               
     3.009213801          3,146,143      branch-misses                                               
     3.059381098          3,248,935      branch-misses                                               
     3.109549725          3,174,753      branch-misses                                               
     3.159713914          3,370,218      branch-misses                                               
     3.209880028          3,142,614      branch-misses                                               
     3.259992765          3,105,113      branch-misses                                               
     3.310151862          3,090,703      branch-misses                                               
     3.360324028          3,129,380      branch-misses                                               
     3.410480782          3,143,382      branch-misses                                               
     3.460644609          3,095,791      branch-misses                                               
     3.510809104          3,103,146      branch-misses                                               
     3.560975436          3,156,873      branch-misses                                               
     3.611138115          3,151,950      branch-misses                                               
     3.661300189          3,116,989      branch-misses                                               
     3.711470054          3,133,523      branch-misses                                               
     3.761636755          3,043,426      branch-misses                                               
#           time             counts unit events
     3.811730967          3,093,195      branch-misses                                               
     3.861897763          3,105,351      branch-misses                                               
     3.912063341          3,122,721      branch-misses                                               
     3.962234475          3,109,140      branch-misses                                               
     4.012348644          3,107,159      branch-misses                                               
     4.062460802          3,126,436      branch-misses                                               
     4.112646573          3,039,442      branch-misses                                               
     4.162817168          3,140,187      branch-misses                                               
     4.212938349          3,399,192      branch-misses                                               
     4.263107565          3,450,130      branch-misses                                               
     4.313276135          2,772,542      branch-misses                                               
     4.363442994          3,644,195      branch-misses                                               
     4.413602168          3,631,631      branch-misses                                               
     4.463721204          3,339,447      branch-misses                                               
     4.513884958          3,204,801      branch-misses                                               
     4.564064585          2,229,507      branch-misses                                               
     4.614242022          3,133,106      branch-misses                                               
     4.664376589          3,834,442      branch-misses                                               
     4.714558761          3,562,944      branch-misses                                               
     4.764725744          3,949,688      branch-misses                                               
     4.814896138          3,955,848      branch-misses                                               
     4.865022759          2,934,790      branch-misses                                               
     4.915199299          2,706,923      branch-misses                                               
     4.965372356          3,154,468      branch-misses                                               
     5.015543072          3,480,432      branch-misses                                               
#           time             counts unit events
     5.065715127          2,939,857      branch-misses                                               
     5.115906336          3,298,776      branch-misses                                               
     5.166085001          3,275,715      branch-misses                                               
     5.216205324          3,311,782      branch-misses                                               
     5.266384663          3,205,708      branch-misses                                               
     5.316570092          3,473,326      branch-misses                                               
     5.366694997          3,183,536      branch-misses                                               
     5.416817058          3,476,950      branch-misses                                               
     5.466998398          3,244,562      branch-misses                                               
     5.517155599          3,508,630      branch-misses                                               
     5.567300430          3,220,076      branch-misses                                               
     5.617445385          3,522,844      branch-misses                                               
     5.667602833          3,256,239      branch-misses                                               
     5.717764950          3,260,875      branch-misses                                               
     5.767927645          2,737,258      branch-misses                                               
     5.818111238          3,104,906      branch-misses                                               
