#           time             counts unit events
     0.050072893             62,080      cache-misses                                                
     0.100222248             55,927      cache-misses                                                
     0.150325655             51,236      cache-misses                                                
     0.200428653             51,810      cache-misses                                                
     0.250536065             55,504      cache-misses                                                
     0.300666818             51,968      cache-misses                                                
     0.350782600             48,517      cache-misses                                                
     0.400882737             49,502      cache-misses                                                
     0.450986965             49,403      cache-misses                                                
     0.501083338             48,496      cache-misses                                                
     0.551184039             55,678      cache-misses                                                
     0.601290954             58,227      cache-misses                                                
     0.651394557             51,253      cache-misses                                                
     0.701503138             60,653      cache-misses                                                
     0.751600100             65,298      cache-misses                                                
     0.801706368             64,707      cache-misses                                                
     0.851828578             66,726      cache-misses                                                
     0.901940369             64,346      cache-misses                                                
     0.952067051             66,052      cache-misses                                                
     1.002189127             65,187      cache-misses                                                
     1.052326849             63,355      cache-misses                                                
     1.102433877             63,344      cache-misses                                                
     1.152547114             66,251      cache-misses                                                
     1.202671643             66,668      cache-misses                                                
     1.252779872             63,038      cache-misses                                                
#           time             counts unit events
     1.302894446             65,618      cache-misses                                                
     1.353001882             66,756      cache-misses                                                
     1.403112200             62,297      cache-misses                                                
     1.453220872             66,916      cache-misses                                                
     1.503322550             65,234      cache-misses                                                
     1.553440907             65,617      cache-misses                                                
     1.603574647             63,707      cache-misses                                                
     1.653755826             62,759      cache-misses                                                
     1.703886170             64,745      cache-misses                                                
     1.754003050             50,889      cache-misses                                                
     1.804119812             45,679      cache-misses                                                
     1.854230653             41,421      cache-misses                                                
     1.904343995             46,867      cache-misses                                                
     1.954459450             62,655      cache-misses                                                
     2.004584255             79,612      cache-misses                                                
     2.054721342             78,768      cache-misses                                                
     2.104841031             78,657      cache-misses                                                
     2.154959161             77,807      cache-misses                                                
     2.205095588             69,492      cache-misses                                                
     2.255206389             65,229      cache-misses                                                
     2.305321840             63,127      cache-misses                                                
     2.355441253             61,222      cache-misses                                                
     2.405555482             67,538      cache-misses                                                
     2.455669965             70,638      cache-misses                                                
     2.505780585             67,822      cache-misses                                                
#           time             counts unit events
     2.555884618             69,122      cache-misses                                                
     2.606007432             67,496      cache-misses                                                
     2.656122649             65,141      cache-misses                                                
     2.706245612             67,114      cache-misses                                                
     2.756348885             67,303      cache-misses                                                
     2.806488156             64,974      cache-misses                                                
     2.856597664             62,607      cache-misses                                                
     2.906709296             67,183      cache-misses                                                
     2.956810984             57,771      cache-misses                                                
     3.006921233             63,287      cache-misses                                                
     3.057025313             66,689      cache-misses                                                
     3.107143367             67,448      cache-misses                                                
     3.157256708             67,114      cache-misses                                                
     3.207364698             66,840      cache-misses                                                
     3.257479372             67,789      cache-misses                                                
     3.307584888             67,816      cache-misses                                                
     3.357695211             67,393      cache-misses                                                
     3.407805119             63,306      cache-misses                                                
     3.457924556             64,323      cache-misses                                                
     3.508036874             65,594      cache-misses                                                
     3.558161959             66,612      cache-misses                                                
     3.608277192             65,397      cache-misses                                                
     3.658387713             66,174      cache-misses                                                
     3.708494280             61,710      cache-misses                                                
     3.758599591             63,738      cache-misses                                                
#           time             counts unit events
     3.808722764             67,249      cache-misses                                                
     3.858846522             66,763      cache-misses                                                
     3.908965150             62,253      cache-misses                                                
     3.959068011             65,811      cache-misses                                                
     4.009190566             66,301      cache-misses                                                
     4.059307269             66,270      cache-misses                                                
     4.109434771             67,493      cache-misses                                                
     4.159544068             66,340      cache-misses                                                
     4.209666268             64,737      cache-misses                                                
     4.259770771             65,106      cache-misses                                                
     4.309873612             63,838      cache-misses                                                
     4.359977354             65,910      cache-misses                                                
     4.410104847             63,848      cache-misses                                                
     4.460213720             62,706      cache-misses                                                
     4.510330701             63,538      cache-misses                                                
     4.560451309             62,499      cache-misses                                                
     4.610569117             63,216      cache-misses                                                
     4.660678607             65,127      cache-misses                                                
     4.710781978             67,526      cache-misses                                                
     4.760883350             63,473      cache-misses                                                
     4.810994670             64,194      cache-misses                                                
     4.861100119             66,756      cache-misses                                                
     4.911226109             56,467      cache-misses                                                
     4.961324483             59,014      cache-misses                                                
     5.011435227             67,178      cache-misses                                                
#           time             counts unit events
     5.061558172             66,676      cache-misses                                                
     5.111671164             68,591      cache-misses                                                
     5.161774191             68,169      cache-misses                                                
     5.211886923             66,748      cache-misses                                                
     5.261998583             65,308      cache-misses                                                
     5.312114207             65,871      cache-misses                                                
     5.362220601             66,287      cache-misses                                                
     5.412358303             68,260      cache-misses                                                
     5.462475325             66,893      cache-misses                                                
     5.512588001             67,196      cache-misses                                                
     5.562705584             63,829      cache-misses                                                
     5.612813492             65,387      cache-misses                                                
     5.662922989             65,803      cache-misses                                                
     5.713031616             66,237      cache-misses                                                
     5.763134936             65,714      cache-misses                                                
     5.813243246             66,433      cache-misses                                                
     5.863354657             68,456      cache-misses                                                
     5.913470547             67,444      cache-misses                                                
     5.963576013             66,804      cache-misses                                                
     6.013697032             67,335      cache-misses                                                
     6.063810657             66,016      cache-misses                                                
     6.113917105             67,177      cache-misses                                                
     6.164020127             67,349      cache-misses                                                
     6.214144425             66,751      cache-misses                                                
     6.264250015             66,729      cache-misses                                                
#           time             counts unit events
     6.314356740             65,652      cache-misses                                                
     6.364469863             65,845      cache-misses                                                
     6.414578844             69,706      cache-misses                                                
     6.464688650             68,911      cache-misses                                                
     6.514793173             65,346      cache-misses                                                
     6.564902807             59,763      cache-misses                                                
     6.615015505             57,039      cache-misses                                                
     6.665120982             56,115      cache-misses                                                
     6.715237712             55,202      cache-misses                                                
     6.765359564             50,559      cache-misses                                                
     6.815465429             53,473      cache-misses                                                
     6.865583275             52,128      cache-misses                                                
     6.915696276             54,294      cache-misses                                                
     6.965820352             53,431      cache-misses                                                
     7.015946575             52,995      cache-misses                                                
     7.066056290             52,346      cache-misses                                                
     7.116171704             84,130      cache-misses                                                
     7.166285013             58,870      cache-misses                                                
     7.216400627             48,960      cache-misses                                                
     7.266511584             52,882      cache-misses                                                
     7.316621901             50,985      cache-misses                                                
     7.366730375             51,427      cache-misses                                                
     7.416844487             49,710      cache-misses                                                
     7.466952245             49,550      cache-misses                                                
     7.517058138             50,623      cache-misses                                                
#           time             counts unit events
     7.567183089             49,106      cache-misses                                                
     7.617291214             90,718      cache-misses                                                
     7.667405128             55,493      cache-misses                                                
     7.717516061             76,358      cache-misses                                                
     7.767620719             63,851      cache-misses                                                
     7.817724308             62,142      cache-misses                                                
     7.867831471             58,877      cache-misses                                                
     7.917946791             63,233      cache-misses                                                
     7.968061261             60,485      cache-misses                                                
     8.018161951             60,222      cache-misses                                                
     8.068270960             66,603      cache-misses                                                
     8.118376971             61,445      cache-misses                                                
     8.168492313             66,058      cache-misses                                                
     8.218593915             67,207      cache-misses                                                
     8.268708656             62,723      cache-misses                                                
     8.318824350             59,550      cache-misses                                                
     8.368935826             67,391      cache-misses                                                
     8.419050340             66,288      cache-misses                                                
     8.469156124             57,037      cache-misses                                                
     8.519259925             66,406      cache-misses                                                
     8.569365789             65,298      cache-misses                                                
     8.619468032             57,507      cache-misses                                                
     8.669582056             64,941      cache-misses                                                
     8.719690986             65,210      cache-misses                                                
     8.769799984             59,443      cache-misses                                                
#           time             counts unit events
     8.819906834             61,607      cache-misses                                                
     8.870030155             66,178      cache-misses                                                
     8.920149099             64,445      cache-misses                                                
     8.970267163             62,868      cache-misses                                                
     9.020372546             82,796      cache-misses                                                
     9.070479421             75,072      cache-misses                                                
     9.120581121             66,669      cache-misses                                                
     9.170687071             61,503      cache-misses                                                
     9.220791365             62,966      cache-misses                                                
     9.270899237             59,592      cache-misses                                                
     9.321003722             64,137      cache-misses                                                
     9.371118326             65,571      cache-misses                                                
     9.421269895             64,436      cache-misses                                                
