#           time             counts unit events
     0.050124871          3,425,578      branch-misses                                               
     0.100341024          3,645,859      branch-misses                                               
     0.150455008          3,717,996      branch-misses                                               
     0.200613164          3,493,079      branch-misses                                               
     0.250728830          3,484,000      branch-misses                                               
     0.300884981          3,969,266      branch-misses                                               
     0.350994598          3,518,512      branch-misses                                               
     0.401155019          3,382,949      branch-misses                                               
     0.451313035          3,194,788      branch-misses                                               
     0.501496790          3,241,207      branch-misses                                               
     0.551656341          3,295,792      branch-misses                                               
     0.601816344          3,284,243      branch-misses                                               
     0.651971085          3,340,514      branch-misses                                               
     0.702124489          3,294,119      branch-misses                                               
     0.752282702          3,182,993      branch-misses                                               
     0.802443597          3,294,992      branch-misses                                               
     0.852601914          3,170,532      branch-misses                                               
     0.902770043          3,271,938      branch-misses                                               
     0.952927253          3,252,906      branch-misses                                               
     1.003045750          3,233,654      branch-misses                                               
     1.053219548          3,296,328      branch-misses                                               
     1.103335608          2,862,918      branch-misses                                               
     1.153500737          2,596,512      branch-misses                                               
     1.203676288          2,585,448      branch-misses                                               
     1.253840373          2,551,879      branch-misses                                               
#           time             counts unit events
     1.304003818          2,457,790      branch-misses                                               
     1.354177642          2,470,733      branch-misses                                               
     1.404334794          2,691,032      branch-misses                                               
     1.454499875          3,295,470      branch-misses                                               
     1.504661045          3,191,144      branch-misses                                               
     1.554815930          3,000,496      branch-misses                                               
     1.604979348          3,037,178      branch-misses                                               
     1.655139301          3,094,494      branch-misses                                               
     1.705295602          3,143,232      branch-misses                                               
     1.755453821          3,190,054      branch-misses                                               
     1.805610845          3,312,325      branch-misses                                               
     1.855768532          3,338,566      branch-misses                                               
     1.905924924          3,233,694      branch-misses                                               
     1.956082283          3,118,477      branch-misses                                               
     2.006238862          3,068,638      branch-misses                                               
     2.056412337          3,068,726      branch-misses                                               
     2.106571753          3,059,663      branch-misses                                               
     2.156730650          3,276,823      branch-misses                                               
     2.206894062          3,250,385      branch-misses                                               
     2.257061022          3,245,790      branch-misses                                               
     2.307190460          3,178,443      branch-misses                                               
     2.357352494          3,317,911      branch-misses                                               
     2.407523042          3,135,315      branch-misses                                               
     2.457644036          3,218,286      branch-misses                                               
     2.507818592          3,216,327      branch-misses                                               
#           time             counts unit events
     2.557987496          3,241,965      branch-misses                                               
     2.608159588          3,151,330      branch-misses                                               
     2.658320803          3,186,096      branch-misses                                               
     2.708492651          3,226,533      branch-misses                                               
     2.758663452          3,225,715      branch-misses                                               
     2.808824844          3,289,800      branch-misses                                               
     2.858987233          3,295,182      branch-misses                                               
     2.909146881          3,320,121      branch-misses                                               
     2.959318509          3,215,473      branch-misses                                               
     3.009481620          3,198,693      branch-misses                                               
     3.059645736          3,214,413      branch-misses                                               
     3.109811326          3,306,703      branch-misses                                               
     3.159974601          3,185,139      branch-misses                                               
     3.210137877          3,118,167      branch-misses                                               
     3.260302222          3,076,476      branch-misses                                               
     3.310426804          3,119,623      branch-misses                                               
     3.360603182          3,138,743      branch-misses                                               
     3.410770154          3,095,520      branch-misses                                               
     3.460940668          3,094,945      branch-misses                                               
     3.511124725          3,154,078      branch-misses                                               
     3.561294852          3,150,406      branch-misses                                               
     3.611463684          3,126,885      branch-misses                                               
     3.661642133          3,118,816      branch-misses                                               
     3.711826883          3,055,543      branch-misses                                               
     3.762017122          3,098,427      branch-misses                                               
#           time             counts unit events
     3.812193577          3,073,822      branch-misses                                               
     3.862363957          3,131,382      branch-misses                                               
     3.912544818          3,099,265      branch-misses                                               
     3.962716995          3,102,464      branch-misses                                               
     4.012893268          3,137,643      branch-misses                                               
     4.063061878          3,046,941      branch-misses                                               
     4.113265564          3,100,605      branch-misses                                               
     4.163447214          3,302,863      branch-misses                                               
     4.213627117          3,457,335      branch-misses                                               
     4.263797767          2,930,652      branch-misses                                               
     4.313976579          3,408,135      branch-misses                                               
     4.364176003          3,634,790      branch-misses                                               
     4.414345102          3,586,381      branch-misses                                               
     4.464532106          3,277,533      branch-misses                                               
     4.514716525          2,276,031      branch-misses                                               
     4.564905825          3,123,198      branch-misses                                               
     4.615036720          3,499,470      branch-misses                                               
     4.665161717          3,508,839      branch-misses                                               
     4.715275030          3,928,230      branch-misses                                               
     4.765387267          3,955,022      branch-misses                                               
     4.815480578          3,267,487      branch-misses                                               
     4.865575890          2,881,281      branch-misses                                               
     4.915675892          2,834,374      branch-misses                                               
     4.965766434          3,439,868      branch-misses                                               
     5.015862739          3,328,501      branch-misses                                               
#           time             counts unit events
     5.065959584          3,482,146      branch-misses                                               
     5.116055227          3,261,772      branch-misses                                               
     5.166121447          3,323,750      branch-misses                                               
     5.216227608          3,202,374      branch-misses                                               
     5.266330892          3,479,035      branch-misses                                               
     5.316422989          3,174,601      branch-misses                                               
     5.366513018          3,484,814      branch-misses                                               
     5.416610030          3,209,102      branch-misses                                               
     5.466709987          3,481,112      branch-misses                                               
     5.516810285          3,248,911      branch-misses                                               
     5.566907653          3,440,801      branch-misses                                               
     5.617035466          3,279,498      branch-misses                                               
     5.667136352          3,296,959      branch-misses                                               
     5.717255228          2,963,870      branch-misses                                               
     5.767352808          2,900,250      branch-misses                                               
     5.817450288          3,343,452      branch-misses                                               
     5.867545264          3,327,942      branch-misses                                               
     5.917637673          3,357,297      branch-misses                                               
     5.967732204          3,260,662      branch-misses                                               
     6.017835310          3,267,495      branch-misses                                               
     6.067936742          3,559,737      branch-misses                                               
     6.118037085          3,179,779      branch-misses                                               
     6.168134510          3,268,024      branch-misses                                               
     6.218234334          3,430,930      branch-misses                                               
     6.268344049          3,382,082      branch-misses                                               
#           time             counts unit events
     6.318439458          3,210,490      branch-misses                                               
     6.368551070          3,276,092      branch-misses                                               
     6.418652481          3,334,408      branch-misses                                               
     6.468759358          3,177,297      branch-misses                                               
     6.518877503          3,413,876      branch-misses                                               
     6.568981613          3,021,050      branch-misses                                               
     6.619088207          2,888,809      branch-misses                                               
     6.669189532          3,525,700      branch-misses                                               
     6.719290868          3,029,281      branch-misses                                               
     6.769394569          3,122,222      branch-misses                                               
     6.819493893          3,197,013      branch-misses                                               
     6.869614894          3,231,541      branch-misses                                               
     6.919723351          3,214,234      branch-misses                                               
     6.969822194          3,432,148      branch-misses                                               
     7.019938051          3,246,271      branch-misses                                               
     7.070035727          3,125,950      branch-misses                                               
     7.120152128          3,153,017      branch-misses                                               
     7.170249818          3,305,156      branch-misses                                               
     7.220354061          3,077,464      branch-misses                                               
     7.270463378          3,202,335      branch-misses                                               
     7.320570692          3,256,961      branch-misses                                               
     7.370666904          3,349,046      branch-misses                                               
     7.420766582          3,281,620      branch-misses                                               
     7.470872964          3,352,282      branch-misses                                               
     7.520972880          3,464,662      branch-misses                                               
#           time             counts unit events
     7.571069614          3,404,237      branch-misses                                               
     7.621203891          3,361,080      branch-misses                                               
     7.671305249          3,395,000      branch-misses                                               
     7.721405563          3,356,121      branch-misses                                               
     7.771519590          3,381,866      branch-misses                                               
     7.821668714          3,362,051      branch-misses                                               
     7.871828266          3,466,222      branch-misses                                               
     7.921981411          3,334,891      branch-misses                                               
     7.972128459          3,234,896      branch-misses                                               
     8.022238831          3,241,479      branch-misses                                               
     8.072354873          3,141,971      branch-misses                                               
     8.122467492          3,302,703      branch-misses                                               
     8.172561652          3,139,780      branch-misses                                               
     8.222672158          3,211,997      branch-misses                                               
     8.272778045          3,286,956      branch-misses                                               
     8.322880474          3,307,207      branch-misses                                               
     8.372986764          3,006,986      branch-misses                                               
     8.423092036          3,275,782      branch-misses                                               
     8.473194487          3,213,250      branch-misses                                               
     8.523299359          3,313,446      branch-misses                                               
     8.573399614          3,211,511      branch-misses                                               
     8.623505187          3,284,139      branch-misses                                               
     8.673609321          3,184,291      branch-misses                                               
     8.723736425          3,305,230      branch-misses                                               
     8.773847142          3,296,110      branch-misses                                               
#           time             counts unit events
     8.823961587          3,020,239      branch-misses                                               
     8.874078717          3,259,102      branch-misses                                               
     8.924210636          3,171,500      branch-misses                                               
     8.974323330          3,098,858      branch-misses                                               
     9.024435009          3,226,490      branch-misses                                               
     9.074546570          3,050,112      branch-misses                                               
     9.124657687          3,061,589      branch-misses                                               
     9.174775074          3,143,323      branch-misses                                               
     9.224882769          3,085,971      branch-misses                                               
     9.274995840          3,019,976      branch-misses                                               
     9.325097412          3,062,514      branch-misses                                               
     9.375205018          3,045,450      branch-misses                                               
     9.425332375          3,064,018      branch-misses                                               
     9.475454090          3,189,654      branch-misses                                               
     9.525567252          3,057,081      branch-misses                                               
     9.575668082          3,020,073      branch-misses                                               
     9.625774224          3,050,738      branch-misses                                               
     9.675880182          3,039,745      branch-misses                                               
     9.725988770          3,047,870      branch-misses                                               
     9.776096008          3,065,599      branch-misses                                               
     9.826230093          3,112,227      branch-misses                                               
     9.876371187          3,087,787      branch-misses                                               
     9.926476094          3,032,804      branch-misses                                               
     9.976583240          3,040,717      branch-misses                                               
    10.026691000          3,080,245      branch-misses                                               
#           time             counts unit events
    10.076814123          3,051,369      branch-misses                                               
    10.126924404          3,024,169      branch-misses                                               
    10.177034702          3,195,312      branch-misses                                               
    10.227140703          3,134,114      branch-misses                                               
    10.277247403          2,924,627      branch-misses                                               
    10.327379116          3,075,775      branch-misses                                               
    10.377488671          3,088,815      branch-misses                                               
    10.427596617          3,119,295      branch-misses                                               
    10.477703000          3,003,749      branch-misses                                               
    10.527812571          3,009,127      branch-misses                                               
    10.577917832          3,095,684      branch-misses                                               
    10.628032130          3,151,784      branch-misses                                               
    10.678137927          3,115,158      branch-misses                                               
    10.728249250          2,278,557      branch-misses                                               
    10.778371308          3,069,064      branch-misses                                               
    10.828481895          3,164,710      branch-misses                                               
    10.878586863          3,306,883      branch-misses                                               
    10.928698494          3,285,554      branch-misses                                               
    10.978802064          2,947,203      branch-misses                                               
    11.028934409          3,027,108      branch-misses                                               
    11.079044131          3,117,095      branch-misses                                               
    11.129150189          3,163,188      branch-misses                                               
    11.179255375          3,098,175      branch-misses                                               
    11.229365904          3,152,035      branch-misses                                               
    11.279484841          3,037,589      branch-misses                                               
#           time             counts unit events
    11.329600010          3,207,485      branch-misses                                               
    11.379706069          2,859,050      branch-misses                                               
    11.429826622          3,138,359      branch-misses                                               
