#           time             counts unit events
     0.050072655          3,535,891      branch-misses                                               
     0.100285851          3,737,011      branch-misses                                               
     0.150441170          3,640,058      branch-misses                                               
     0.200604691          3,533,309      branch-misses                                               
     0.250781150          3,524,401      branch-misses                                               
     0.300946172          3,940,652      branch-misses                                               
     0.351104619          3,464,150      branch-misses                                               
     0.401271243          3,315,582      branch-misses                                               
     0.451436947          3,244,974      branch-misses                                               
     0.501617304          3,221,341      branch-misses                                               
     0.551777469          3,251,484      branch-misses                                               
     0.601933711          3,234,132      branch-misses                                               
     0.652095974          3,290,497      branch-misses                                               
     0.702251815          3,317,367      branch-misses                                               
     0.752417114          3,202,896      branch-misses                                               
     0.802581166          3,300,840      branch-misses                                               
     0.852745896          3,158,735      branch-misses                                               
     0.902901990          3,290,639      branch-misses                                               
     0.953072510          3,238,512      branch-misses                                               
     1.003240402          3,255,261      branch-misses                                               
     1.053401846          3,316,084      branch-misses                                               
     1.103576781          2,898,050      branch-misses                                               
     1.153749674          2,571,882      branch-misses                                               
     1.203911439          2,601,878      branch-misses                                               
     1.254078111          2,570,599      branch-misses                                               
#           time             counts unit events
     1.304236440          2,465,715      branch-misses                                               
     1.354355660          2,472,096      branch-misses                                               
     1.404515078          2,774,740      branch-misses                                               
     1.454680595          3,336,173      branch-misses                                               
     1.504839133          3,181,147      branch-misses                                               
     1.555020293          3,064,389      branch-misses                                               
     1.605185138          3,068,730      branch-misses                                               
     1.655351905          3,120,169      branch-misses                                               
     1.705513717          3,180,456      branch-misses                                               
     1.755679531          3,227,434      branch-misses                                               
     1.805839691          3,296,686      branch-misses                                               
     1.856021583          3,457,820      branch-misses                                               
     1.906136073          3,205,436      branch-misses                                               
     1.956295458          3,127,468      branch-misses                                               
     2.006666517          3,105,630      branch-misses                                               
     2.056821454          3,076,754      branch-misses                                               
     2.107000062          3,108,475      branch-misses                                               
     2.157167237          3,361,232      branch-misses                                               
     2.207288784          3,233,636      branch-misses                                               
     2.257452240          3,263,321      branch-misses                                               
     2.307620834          3,218,750      branch-misses                                               
     2.357786969          3,293,571      branch-misses                                               
     2.407910690          3,139,746      branch-misses                                               
     2.458074362          3,297,455      branch-misses                                               
     2.508237513          3,213,127      branch-misses                                               
#           time             counts unit events
     2.558400366          3,233,831      branch-misses                                               
     2.608565983          3,176,538      branch-misses                                               
     2.658727343          3,223,904      branch-misses                                               
     2.708890493          3,267,045      branch-misses                                               
     2.759104671          3,253,188      branch-misses                                               
     2.809272050          3,312,418      branch-misses                                               
     2.859435093          3,334,739      branch-misses                                               
     2.909558098          3,316,287      branch-misses                                               
     2.959726789          3,165,932      branch-misses                                               
     3.009844747          3,264,683      branch-misses                                               
     3.060009563          3,176,883      branch-misses                                               
     3.110187688          3,398,917      branch-misses                                               
     3.160367126          3,149,984      branch-misses                                               
     3.210533367          3,111,155      branch-misses                                               
     3.260699592          3,128,360      branch-misses                                               
     3.310865262          2,780,084      branch-misses                                               
     3.361044855          2,123,541      branch-misses                                               
     3.411244565          2,318,226      branch-misses                                               
     3.461366820          3,113,049      branch-misses                                               
     3.511546593          3,166,940      branch-misses                                               
     3.561667941          3,170,936      branch-misses                                               
     3.611852229          3,161,222      branch-misses                                               
     3.662037665          3,129,747      branch-misses                                               
     3.712226958          2,093,047      branch-misses                                               
     3.762395408          2,067,521      branch-misses                                               
#           time             counts unit events
     3.812567146          3,122,645      branch-misses                                               
     3.862737570          3,113,791      branch-misses                                               
     3.912907634          3,136,369      branch-misses                                               
     3.963081282          3,130,410      branch-misses                                               
     4.013251182          3,126,939      branch-misses                                               
     4.063423471          2,219,417      branch-misses                                               
     4.113595161          1,982,655      branch-misses                                               
     4.163767647          2,349,258      branch-misses                                               
     4.213941731          3,178,284      branch-misses                                               
     4.264113412          3,449,002      branch-misses                                               
     4.314282152          3,463,751      branch-misses                                               
     4.364454542          2,822,377      branch-misses                                               
     4.414623319          3,674,804      branch-misses                                               
     4.464793824          2,364,129      branch-misses                                               
     4.514965832          2,200,600      branch-misses                                               
     4.565148826          2,119,968      branch-misses                                               
     4.615317160          3,058,479      branch-misses                                               
     4.665490520          2,262,044      branch-misses                                               
     4.715671493          3,208,699      branch-misses                                               
     4.765843374          3,867,351      branch-misses                                               
     4.816014536          3,587,744      branch-misses                                               
     4.866186810          3,978,381      branch-misses                                               
     4.916308238          3,959,351      branch-misses                                               
     4.966428712          2,913,135      branch-misses                                               
     5.016609973          2,659,102      branch-misses                                               
#           time             counts unit events
     5.066782502          3,242,164      branch-misses                                               
     5.116966923          3,494,904      branch-misses                                               
     5.167143685          3,366,360      branch-misses                                               
     5.217316923          3,507,417      branch-misses                                               
     5.267484557          3,323,488      branch-misses                                               
     5.317656656          2,306,003      branch-misses                                               
     5.367830683          2,047,151      branch-misses                                               
     5.417966900          2,142,079      branch-misses                                               
     5.468130801          2,243,324      branch-misses                                               
     5.518238253          2,011,826      branch-misses                                               
     5.568408400          2,087,055      branch-misses                                               
     5.618524464          2,419,178      branch-misses                                               
     5.668629598          3,241,000      branch-misses                                               
     5.718730806          3,527,152      branch-misses                                               
     5.768838749          3,238,930      branch-misses                                               
     5.818939296          3,509,314      branch-misses                                               
     5.869047060          3,258,204      branch-misses                                               
     5.919159796          3,290,414      branch-misses                                               
     5.969262122          2,877,825      branch-misses                                               
     6.019371262          3,005,767      branch-misses                                               
     6.069479049          3,370,656      branch-misses                                               
     6.119583680          3,393,163      branch-misses                                               
     6.169684558          3,324,014      branch-misses                                               
     6.219794919          3,316,850      branch-misses                                               
     6.269892565          3,286,400      branch-misses                                               
#           time             counts unit events
     6.319995347          3,580,578      branch-misses                                               
     6.370092578          3,207,935      branch-misses                                               
     6.420197476          3,295,950      branch-misses                                               
     6.470297000          3,525,770      branch-misses                                               
     6.520405629          3,277,145      branch-misses                                               
     6.570504988          3,269,734      branch-misses                                               
     6.620618659          3,304,822      branch-misses                                               
     6.670718927          3,368,245      branch-misses                                               
     6.720819285          3,230,961      branch-misses                                               
     6.770945943          3,386,154      branch-misses                                               
     6.821049135          2,823,141      branch-misses                                               
     6.871164289          3,312,381      branch-misses                                               
     6.921275965          3,504,084      branch-misses                                               
     6.971370938          2,876,779      branch-misses                                               
     7.021482246          2,458,780      branch-misses                                               
     7.071597009          3,137,422      branch-misses                                               
     7.121701317          3,278,780      branch-misses                                               
     7.171810585          3,245,203      branch-misses                                               
     7.221910950          3,469,655      branch-misses                                               
     7.272012710          3,243,279      branch-misses                                               
     7.322117362          3,120,401      branch-misses                                               
     7.372235748          3,210,792      branch-misses                                               
     7.422338384          3,294,959      branch-misses                                               
     7.472435036          3,120,028      branch-misses                                               
     7.522549642          3,299,589      branch-misses                                               
#           time             counts unit events
     7.572650958          3,227,667      branch-misses                                               
     7.622751988          3,366,223      branch-misses                                               
     7.672851160          3,312,351      branch-misses                                               
     7.722961280          3,385,294      branch-misses                                               
     7.773071265          3,468,515      branch-misses                                               
     7.823176321          3,399,748      branch-misses                                               
     7.873279361          3,437,232      branch-misses                                               
     7.923377702          3,415,432      branch-misses                                               
     7.973481715          3,312,726      branch-misses                                               
     8.023584556          3,392,813      branch-misses                                               
     8.073689244          3,426,982      branch-misses                                               
     8.123797988          3,441,278      branch-misses                                               
     8.173902854          3,286,130      branch-misses                                               
     8.224004357          3,330,382      branch-misses                                               
     8.274100678          3,196,405      branch-misses                                               
     8.324198920          3,127,015      branch-misses                                               
     8.374316381          3,438,980      branch-misses                                               
     8.424421339          3,107,847      branch-misses                                               
     8.474527898          3,300,049      branch-misses                                               
     8.524629284          3,202,072      branch-misses                                               
     8.574730073          2,734,240      branch-misses                                               
     8.624827041          2,794,239      branch-misses                                               
     8.674928956          3,367,435      branch-misses                                               
     8.725024292          3,191,254      branch-misses                                               
     8.775117471          3,331,079      branch-misses                                               
#           time             counts unit events
     8.825233201          3,265,777      branch-misses                                               
     8.875332169          3,282,872      branch-misses                                               
     8.925437253          3,181,434      branch-misses                                               
     8.975533582          3,336,140      branch-misses                                               
     9.025632274          3,308,484      branch-misses                                               
     9.075729646          3,113,765      branch-misses                                               
     9.125839080          3,216,529      branch-misses                                               
     9.175935918          3,158,823      branch-misses                                               
     9.226033934          3,129,940      branch-misses                                               
     9.276138618          3,223,978      branch-misses                                               
     9.326234082          3,071,896      branch-misses                                               
     9.376331765          3,155,839      branch-misses                                               
     9.426430052          3,115,494      branch-misses                                               
     9.476537075          3,069,454      branch-misses                                               
     9.526631002          3,062,663      branch-misses                                               
     9.576729403          3,077,575      branch-misses                                               
     9.626821098          3,079,358      branch-misses                                               
     9.676920503          3,095,117      branch-misses                                               
     9.727021467          3,191,121      branch-misses                                               
     9.777076978          3,065,016      branch-misses                                               
     9.827176826          3,051,234      branch-misses                                               
     9.877282931          3,076,677      branch-misses                                               
     9.927377897          3,063,132      branch-misses                                               
     9.977477042          3,086,334      branch-misses                                               
    10.027574868          3,074,384      branch-misses                                               
#           time             counts unit events
    10.077676339          3,127,158      branch-misses                                               
    10.127775695          2,639,824      branch-misses                                               
    10.177881222          2,748,429      branch-misses                                               
    10.227975423          3,052,316      branch-misses                                               
    10.278084659          3,115,033      branch-misses                                               
    10.328195581          3,060,092      branch-misses                                               
    10.378302776          3,044,946      branch-misses                                               
    10.428394948          3,282,947      branch-misses                                               
    10.478497598          3,095,156      branch-misses                                               
    10.528590612          2,943,500      branch-misses                                               
    10.578684064          3,249,657      branch-misses                                               
    10.628781341          3,037,275      branch-misses                                               
    10.678880436          3,144,381      branch-misses                                               
    10.728974254          2,986,693      branch-misses                                               
    10.779068704          2,985,668      branch-misses                                               
    10.829167567          3,217,231      branch-misses                                               
    10.879270497          3,184,088      branch-misses                                               
    10.929365004          3,061,548      branch-misses                                               
    10.979466641          2,344,856      branch-misses                                               
    11.029565932          3,138,848      branch-misses                                               
    11.079665599          3,340,321      branch-misses                                               
    11.129763544          3,174,802      branch-misses                                               
    11.179860083          3,305,235      branch-misses                                               
    11.229954164          2,919,496      branch-misses                                               
    11.280047453          3,148,895      branch-misses                                               
#           time             counts unit events
    11.330145995          3,085,568      branch-misses                                               
    11.380245468          3,254,201      branch-misses                                               
    11.430352248          3,050,852      branch-misses                                               
    11.480453164          3,150,733      branch-misses                                               
    11.530550876          3,146,310      branch-misses                                               
    11.580647101          3,004,174      branch-misses                                               
    11.630740054          3,093,641      branch-misses                                               
    11.680835708          2,889,536      branch-misses                                               
    11.730934578          2,545,648      branch-misses                                               
    11.781026120          2,034,376      branch-misses                                               
    11.831133973          1,758,182      branch-misses                                               
    11.881226597          1,852,939      branch-misses                                               
    11.931320311          1,815,357      branch-misses                                               
    11.981415241          3,071,244      branch-misses                                               
    12.031511646          2,466,398      branch-misses                                               
    12.081611713          2,758,402      branch-misses                                               
    12.131718343          2,716,066      branch-misses                                               
    12.181817455          3,740,964      branch-misses                                               
    12.231920678          3,803,375      branch-misses                                               
    12.282018441          3,857,791      branch-misses                                               
    12.332110719          3,858,140      branch-misses                                               
    12.382216613          3,855,317      branch-misses                                               
    12.432312694          3,844,481      branch-misses                                               
    12.482410024          3,854,608      branch-misses                                               
    12.532504393          3,854,681      branch-misses                                               
#           time             counts unit events
    12.582596777          3,787,338      branch-misses                                               
    12.632699540          3,695,847      branch-misses                                               
    12.682794105          3,143,486      branch-misses                                               
    12.732886277          3,287,221      branch-misses                                               
    12.782981714          3,314,174      branch-misses                                               
    12.833096700          3,223,183      branch-misses                                               
    12.883202440          3,205,844      branch-misses                                               
    12.933310716          2,089,439      branch-misses                                               
    12.983415066          3,208,079      branch-misses                                               
