#           time             counts unit events
     0.050120360        174,910,027      cycles                                                      
     0.100302932        187,313,182      cycles                                                      
     0.150472760        187,759,004      cycles                                                      
     0.200634568        188,742,153      cycles                                                      
     0.250791093        183,434,511      cycles                                                      
     0.300965837        184,599,343      cycles                                                      
     0.351149079        183,933,127      cycles                                                      
     0.401322070        187,206,796      cycles                                                      
     0.451487202        188,015,949      cycles                                                      
     0.501649162        189,898,725      cycles                                                      
     0.551806686        189,496,805      cycles                                                      
     0.601977075        189,065,274      cycles                                                      
     0.652132472        189,814,360      cycles                                                      
     0.702288935        184,880,396      cycles                                                      
     0.752456842        184,686,972      cycles                                                      
     0.802617304        182,658,076      cycles                                                      
     0.852791137        184,121,014      cycles                                                      
     0.902963548        184,221,619      cycles                                                      
     0.953135632        184,416,422      cycles                                                      
     1.003267102        183,037,571      cycles                                                      
     1.053436026        182,239,996      cycles                                                      
     1.103561429        182,029,589      cycles                                                      
     1.153737850        181,749,953      cycles                                                      
     1.203865651        181,820,165      cycles                                                      
     1.254036716        182,621,416      cycles                                                      
#           time             counts unit events
     1.304200957        182,019,963      cycles                                                      
     1.354371548        141,489,942      cycles                                                      
     1.404490730        180,007,966      cycles                                                      
     1.454658450        180,177,120      cycles                                                      
     1.504825124        180,175,348      cycles                                                      
     1.554991231        180,173,222      cycles                                                      
     1.605153777        180,161,999      cycles                                                      
     1.655320583        180,173,916      cycles                                                      
     1.705487302        180,175,512      cycles                                                      
     1.755653670        180,175,343      cycles                                                      
     1.805830896        180,175,733      cycles                                                      
     1.856015929        180,238,454      cycles                                                      
     1.906184637        180,180,724      cycles                                                      
     1.956350607        180,176,763      cycles                                                      
     2.006519926        180,181,809      cycles                                                      
     2.056685284        180,171,432      cycles                                                      
     2.106855440        180,189,108      cycles                                                      
     2.157027539        180,197,437      cycles                                                      
     2.207195579        180,176,171      cycles                                                      
     2.257366539        180,190,215      cycles                                                      
     2.307542937        180,210,357      cycles                                                      
     2.357719527        180,212,779      cycles                                                      
     2.407902123        180,233,162      cycles                                                      
     2.458072504        180,187,785      cycles                                                      
     2.508253276        180,227,612      cycles                                                      
#           time             counts unit events
     2.558431132        180,214,109      cycles                                                      
     2.608610878        180,181,214      cycles                                                      
     2.658792762        180,229,535      cycles                                                      
     2.708967835        180,206,967      cycles                                                      
     2.759147261        180,219,910      cycles                                                      
     2.809318091        180,193,672      cycles                                                      
     2.859489512        180,189,719      cycles                                                      
     2.909665581        180,209,463      cycles                                                      
     2.959843405        180,216,295      cycles                                                      
     3.010024599        180,231,422      cycles                                                      
     3.060206647        180,230,423      cycles                                                      
     3.110385511        180,209,305      cycles                                                      
     3.160569235        180,236,427      cycles                                                      
     3.210747791        180,198,718      cycles                                                      
     3.260919556        180,190,591      cycles                                                      
     3.311092304        180,197,191      cycles                                                      
     3.361286355        180,279,454      cycles                                                      
     3.411463662        180,215,178      cycles                                                      
     3.461640922        180,206,482      cycles                                                      
     3.511816444        180,208,724      cycles                                                      
     3.561989750        180,197,251      cycles                                                      
     3.612114843        179,962,051      cycles                                                      
     3.662288698        180,200,499      cycles                                                      
     3.712462985        180,201,828      cycles                                                      
     3.762637790        180,207,918      cycles                                                      
#           time             counts unit events
     3.812863120        180,385,089      cycles                                                      
     3.863044588        180,227,345      cycles                                                      
     3.913221203        180,210,922      cycles                                                      
     3.963403436        180,233,986      cycles                                                      
     4.013579463        180,208,193      cycles                                                      
     4.063804936        180,386,199      cycles                                                      
     4.113984978        180,223,794      cycles                                                      
     4.164120717        180,078,941      cycles                                                      
     4.214298339        180,201,209      cycles                                                      
     4.264427899        180,044,883      cycles                                                      
     4.314615151        180,245,178      cycles                                                      
     4.364799497        180,239,307      cycles                                                      
     4.414996068        180,281,948      cycles                                                      
     4.465184829        180,256,123      cycles                                                      
     4.515318885        180,060,324      cycles                                                      
     4.565514739        180,281,718      cycles                                                      
     4.615644234        180,001,633      cycles                                                      
     4.665835158        180,260,004      cycles                                                      
     4.716035233        180,296,532      cycles                                                      
     4.766213339        180,217,857      cycles                                                      
     4.816346707        180,056,662      cycles                                                      
     4.866526634        180,223,400      cycles                                                      
     4.916655288        180,041,703      cycles                                                      
     4.966829210        180,199,125      cycles                                                      
     5.017013352        180,237,033      cycles                                                      
#           time             counts unit events
     5.067183909        180,193,974      cycles                                                      
     5.117366994        180,227,989      cycles                                                      
     5.167502565        180,068,580      cycles                                                      
     5.217679913        180,210,813      cycles                                                      
     5.267823023        180,105,512      cycles                                                      
     5.318005147        180,224,728      cycles                                                      
     5.368134674        180,033,608      cycles                                                      
     5.418312940        180,218,555      cycles                                                      
     5.468499037        180,242,012      cycles                                                      
     5.518680157        180,229,739      cycles                                                      
     5.568857712        180,214,676      cycles                                                      
     5.619030269        180,155,148      cycles                                                      
     5.669212936        180,235,701      cycles                                                      
     5.719392834        180,221,826      cycles                                                      
     5.769574125        180,228,234      cycles                                                      
     5.819706249        180,047,418      cycles                                                      
     5.869833061        180,039,039      cycles                                                      
     5.919957509        180,021,657      cycles                                                      
     5.970089553        180,050,062      cycles                                                      
     6.020209693        180,010,607      cycles                                                      
     6.070330427        180,008,999      cycles                                                      
