#           time             counts unit events
     0.050121974         28,333,950      branches                                                    
     0.100302646         29,859,477      branches                                                    
     0.150481270         30,277,338      branches                                                    
     0.200611018         29,759,622      branches                                                    
     0.250784008         29,126,221      branches                                                    
     0.300910657         28,833,228      branches                                                    
     0.351088298         29,671,534      branches                                                    
     0.401216880         30,395,189      branches                                                    
     0.451448273         32,205,028      branches                                                    
     0.501627645         34,800,056      branches                                                    
     0.551797351         34,940,023      branches                                                    
     0.601964357         34,642,928      branches                                                    
     0.652159840         34,555,806      branches                                                    
     0.702328717         34,111,481      branches                                                    
     0.752462632         34,955,925      branches                                                    
     0.802644047         34,486,743      branches                                                    
     0.852774949         34,982,168      branches                                                    
     0.902964047         34,270,137      branches                                                    
     0.953106871         34,363,776      branches                                                    
     1.003236130         34,605,740      branches                                                    
     1.053358177         33,797,592      branches                                                    
     1.103473697         35,659,355      branches                                                    
     1.153589038         29,460,090      branches                                                    
     1.203705067         29,601,221      branches                                                    
     1.253812688         36,843,662      branches                                                    
#           time             counts unit events
     1.303931954         40,172,078      branches                                                    
     1.354051672         40,416,575      branches                                                    
     1.404135537         39,164,460      branches                                                    
     1.454251577         34,475,976      branches                                                    
     1.504366315         33,239,156      branches                                                    
     1.554484426         35,928,493      branches                                                    
     1.604593432         35,816,169      branches                                                    
     1.654709039         35,891,710      branches                                                    
     1.704822992         34,787,668      branches                                                    
     1.754938523         34,975,160      branches                                                    
     1.805054077         34,082,760      branches                                                    
     1.855177774         34,387,371      branches                                                    
     1.905319742         32,455,234      branches                                                    
     1.955429608         34,342,811      branches                                                    
     2.005547654         35,528,516      branches                                                    
     2.055664985         35,450,202      branches                                                    
     2.105775856         35,587,107      branches                                                    
     2.155882689         34,806,402      branches                                                    
     2.205993944         33,800,173      branches                                                    
     2.256107580         34,301,305      branches                                                    
     2.306236631         34,344,547      branches                                                    
     2.356350384         34,378,474      branches                                                    
     2.406463464         34,140,966      branches                                                    
     2.456588194         35,016,622      branches                                                    
     2.506698185         33,796,828      branches                                                    
#           time             counts unit events
     2.556806503         34,580,823      branches                                                    
     2.606930127         34,513,322      branches                                                    
     2.657044274         34,790,110      branches                                                    
     2.707164150         34,404,930      branches                                                    
     2.757277563         34,195,773      branches                                                    
     2.807383828         34,324,210      branches                                                    
     2.857487561         33,756,903      branches                                                    
     2.907616676         33,611,203      branches                                                    
     2.957720213         33,687,301      branches                                                    
     3.007828895         34,847,621      branches                                                    
     3.057947413         34,082,297      branches                                                    
     3.108059687         34,783,216      branches                                                    
     3.158172940         31,448,842      branches                                                    
     3.208297912         34,838,022      branches                                                    
     3.258409949         35,290,199      branches                                                    
     3.308519202         35,150,320      branches                                                    
     3.358628412         35,016,932      branches                                                    
     3.408737387         34,843,259      branches                                                    
     3.458849887         35,119,565      branches                                                    
     3.508964748         35,155,480      branches                                                    
     3.559076800         34,782,955      branches                                                    
     3.609186697         34,865,052      branches                                                    
     3.659298947         34,806,716      branches                                                    
     3.709407282         35,186,770      branches                                                    
     3.759516910         35,571,918      branches                                                    
#           time             counts unit events
     3.809620755         35,366,427      branches                                                    
     3.859732823         35,347,095      branches                                                    
     3.909842264         35,212,621      branches                                                    
     3.959963415         35,137,026      branches                                                    
     4.010092314         35,152,276      branches                                                    
     4.060209236         35,038,143      branches                                                    
     4.110325157         35,780,332      branches                                                    
     4.160435424         34,943,158      branches                                                    
     4.210547520         32,074,656      branches                                                    
     4.260661259         31,656,768      branches                                                    
     4.310773279         34,597,380      branches                                                    
     4.360882595         31,841,441      branches                                                    
     4.411010318         31,634,421      branches                                                    
     4.461125880         31,197,937      branches                                                    
     4.511236353         32,920,275      branches                                                    
     4.561348131         36,941,537      branches                                                    
     4.611457213         31,321,947      branches                                                    
     4.661566426         29,251,770      branches                                                    
     4.711693311         29,518,788      branches                                                    
     4.761803702         28,578,788      branches                                                    
     4.811914042         28,580,070      branches                                                    
     4.862026372         32,234,810      branches                                                    
     4.912134077         34,313,950      branches                                                    
     4.962245571         34,399,421      branches                                                    
     5.012360931         31,828,215      branches                                                    
#           time             counts unit events
     5.062470006         33,858,447      branches                                                    
     5.112588933         31,904,432      branches                                                    
     5.162703169         33,311,307      branches                                                    
     5.212811418         34,009,951      branches                                                    
     5.262921169         34,583,385      branches                                                    
     5.313042654         31,574,616      branches                                                    
     5.363151466         34,013,617      branches                                                    
     5.413267591         32,221,649      branches                                                    
     5.463378891         33,751,947      branches                                                    
     5.513487949         31,925,988      branches                                                    
     5.563601049         34,433,146      branches                                                    
     5.613712898         31,831,043      branches                                                    
     5.663824339         33,532,910      branches                                                    
     5.713931182         33,480,865      branches                                                    
     5.764059087         38,363,897      branches                                                    
     5.814175567         35,039,889      branches                                                    
     5.864284814         31,371,741      branches                                                    
     5.914408064         33,114,489      branches                                                    
     5.964517928         34,149,513      branches                                                    
     6.014632148         33,687,119      branches                                                    
     6.064774902         33,806,698      branches                                                    
     6.114890997         31,954,200      branches                                                    
     6.165012058         34,710,001      branches                                                    
     6.215145385         33,966,227      branches                                                    
     6.265256576         31,854,841      branches                                                    
#           time             counts unit events
     6.315370959         34,400,778      branches                                                    
     6.365497424         34,140,654      branches                                                    
     6.415608344         34,139,560      branches                                                    
     6.465722925         33,469,249      branches                                                    
     6.515843187         34,539,649      branches                                                    
     6.565955940         32,763,342      branches                                                    
     6.616077373         34,262,770      branches                                                    
     6.666203894         29,761,973      branches                                                    
     6.716328570         30,678,177      branches                                                    
     6.766462867         34,706,820      branches                                                    
     6.816577463         35,404,263      branches                                                    
     6.866694247         34,073,865      branches                                                    
     6.916810319         34,824,499      branches                                                    
     6.966925012         34,571,353      branches                                                    
     7.017042036         32,843,276      branches                                                    
     7.067174514         32,337,162      branches                                                    
     7.117290920         35,161,008      branches                                                    
     7.167417821         34,547,546      branches                                                    
     7.217531380         34,290,450      branches                                                    
     7.267646168         35,486,380      branches                                                    
     7.317766342         32,453,728      branches                                                    
     7.367898088         34,459,063      branches                                                    
     7.418023012         33,631,290      branches                                                    
     7.468138857         33,873,439      branches                                                    
     7.518271331         33,029,600      branches                                                    
#           time             counts unit events
     7.568387096         32,397,905      branches                                                    
     7.618500363         32,766,059      branches                                                    
     7.668615059         32,954,769      branches                                                    
     7.718728881         32,577,939      branches                                                    
     7.768848117         33,374,361      branches                                                    
     7.818966228         33,445,423      branches                                                    
     7.869077647         32,779,996      branches                                                    
     7.919199193         33,560,457      branches                                                    
     7.969335840         33,899,634      branches                                                    
     8.019452085         34,100,983      branches                                                    
     8.069567340         35,195,025      branches                                                    
     8.119685145         35,033,145      branches                                                    
     8.169803492         31,388,040      branches                                                    
     8.219909982         35,374,417      branches                                                    
     8.270032010         34,118,005      branches                                                    
     8.320159581         34,795,878      branches                                                    
     8.370281675         34,077,852      branches                                                    
     8.420395466         35,473,906      branches                                                    
     8.470523553         33,732,345      branches                                                    
     8.520636851         35,269,513      branches                                                    
     8.570747763         33,525,452      branches                                                    
     8.620870643         34,325,151      branches                                                    
     8.670997222         34,465,372      branches                                                    
     8.721118469         34,460,838      branches                                                    
     8.771237207         32,423,051      branches                                                    
#           time             counts unit events
     8.821355584         33,543,301      branches                                                    
     8.871475746         34,877,164      branches                                                    
     8.921594761         34,717,747      branches                                                    
     8.971709874         35,341,607      branches                                                    
     9.021836032         35,223,069      branches                                                    
     9.071952251         34,567,395      branches                                                    
     9.122081120         35,459,753      branches                                                    
     9.172196022         34,440,555      branches                                                    
     9.222306271         34,943,447      branches                                                    
     9.272419665         35,594,901      branches                                                    
     9.322536496         35,425,765      branches                                                    
     9.372657914         35,417,217      branches                                                    
     9.422782968         35,541,600      branches                                                    
     9.472891955         34,296,632      branches                                                    
     9.523017982         35,134,007      branches                                                    
     9.573137577         35,606,767      branches                                                    
     9.623249043         35,612,388      branches                                                    
     9.673369018         35,408,646      branches                                                    
     9.723489084         35,472,155      branches                                                    
     9.773602674         35,584,380      branches                                                    
     9.823723973         35,157,289      branches                                                    
     9.873850430         35,264,808      branches                                                    
     9.923975166         35,017,397      branches                                                    
     9.974090125         35,415,885      branches                                                    
    10.024206388         35,140,085      branches                                                    
#           time             counts unit events
    10.074320625         35,360,082      branches                                                    
    10.124440055         33,876,510      branches                                                    
    10.174549855         35,021,695      branches                                                    
    10.224668707         33,592,260      branches                                                    
    10.274784746         35,567,227      branches                                                    
    10.324928945         34,133,083      branches                                                    
    10.375042999         31,834,436      branches                                                    
    10.425166172         33,601,222      branches                                                    
    10.475289750         33,558,496      branches                                                    
    10.525420583         34,318,143      branches                                                    
    10.575539245         34,210,142      branches                                                    
