#           time             counts unit events
     0.050126195             94,218      cache-misses                                                
     0.100346373             94,817      cache-misses                                                
     0.150515328             95,995      cache-misses                                                
     0.200677663             95,216      cache-misses                                                
     0.250841622             92,645      cache-misses                                                
     0.301001572             92,150      cache-misses                                                
     0.351176279            100,986      cache-misses                                                
     0.401340983            103,423      cache-misses                                                
     0.451512497            116,274      cache-misses                                                
     0.501683016            122,252      cache-misses                                                
     0.551840059            121,138      cache-misses                                                
     0.602013540            119,147      cache-misses                                                
     0.652172321            116,469      cache-misses                                                
     0.702339569            118,129      cache-misses                                                
     0.752505078            118,029      cache-misses                                                
     0.802658018            117,988      cache-misses                                                
     0.852826673            117,949      cache-misses                                                
     0.902998784            118,199      cache-misses                                                
     0.953158553            117,072      cache-misses                                                
     1.003263941            114,639      cache-misses                                                
     1.053427754            113,573      cache-misses                                                
     1.103521655             91,446      cache-misses                                                
     1.153686683             75,655      cache-misses                                                
     1.203853114            110,048      cache-misses                                                
     1.254014111            137,862      cache-misses                                                
#           time             counts unit events
     1.304174425            138,209      cache-misses                                                
     1.354351606            137,260      cache-misses                                                
     1.404511762            110,200      cache-misses                                                
     1.454671813            109,946      cache-misses                                                
     1.504830038            120,706      cache-misses                                                
     1.554990211            120,520      cache-misses                                                
     1.605155586            120,896      cache-misses                                                
     1.655311850            116,754      cache-misses                                                
     1.705471566            116,639      cache-misses                                                
     1.755629157            114,995      cache-misses                                                
     1.805786666            114,957      cache-misses                                                
     1.855943901            107,748      cache-misses                                                
     1.906101479            115,983      cache-misses                                                
     1.956264749            118,553      cache-misses                                                
     2.006421994            120,052      cache-misses                                                
     2.056586010            119,247      cache-misses                                                
     2.106746342            115,743      cache-misses                                                
     2.156907921            113,732      cache-misses                                                
     2.207073243            115,909      cache-misses                                                
     2.257235214            115,170      cache-misses                                                
     2.307396832            114,127      cache-misses                                                
     2.357574659            112,859      cache-misses                                                
     2.407736788            117,717      cache-misses                                                
     2.457903704            112,150      cache-misses                                                
     2.508021015            117,024      cache-misses                                                
#           time             counts unit events
     2.558207737            117,922      cache-misses                                                
     2.608385830            116,182      cache-misses                                                
     2.658558124            114,606      cache-misses                                                
     2.708677090             90,488      cache-misses                                                
     2.758847721            114,530      cache-misses                                                
     2.809016825            111,635      cache-misses                                                
     2.859212974            112,463      cache-misses                                                
     2.909374487            110,284      cache-misses                                                
     2.959538633            117,447      cache-misses                                                
     3.009704839            113,107      cache-misses                                                
     3.059872533            116,222      cache-misses                                                
     3.110044204            100,187      cache-misses                                                
     3.160211534            116,586      cache-misses                                                
     3.210376750            118,341      cache-misses                                                
     3.260547682            118,075      cache-misses                                                
     3.310712606            116,936      cache-misses                                                
     3.360829222            116,060      cache-misses                                                
     3.410994220            117,403      cache-misses                                                
     3.461161722            117,771      cache-misses                                                
     3.511324207            115,571      cache-misses                                                
     3.561491632            115,813      cache-misses                                                
     3.611659531            114,960      cache-misses                                                
     3.661838137            117,633      cache-misses                                                
     3.711961114            119,886      cache-misses                                                
     3.762135647            117,456      cache-misses                                                
#           time             counts unit events
     3.812254806            115,780      cache-misses                                                
     3.862433361            117,920      cache-misses                                                
     3.912555610            116,442      cache-misses                                                
     3.962723919            116,878      cache-misses                                                
     4.012899474            116,687      cache-misses                                                
     4.063068510            121,646      cache-misses                                                
     4.113229205            116,509      cache-misses                                                
     4.163409142            106,767      cache-misses                                                
     4.213592538            105,258      cache-misses                                                
     4.263712537             94,596      cache-misses                                                
     4.313886188             95,246      cache-misses                                                
     4.364067046            101,690      cache-misses                                                
     4.414247627             94,657      cache-misses                                                
     4.464441045            127,912      cache-misses                                                
     4.514625827            105,216      cache-misses                                                
     4.564800979             93,689      cache-misses                                                
     4.614983957             94,400      cache-misses                                                
     4.665164404             91,540      cache-misses                                                
     4.715341724             91,698      cache-misses                                                
     4.765579324             91,781      cache-misses                                                
     4.815761733            134,443      cache-misses                                                
     4.865888811            126,145      cache-misses                                                
     4.916023272            112,766      cache-misses                                                
     4.966143815            106,003      cache-misses                                                
     5.016316363            110,038      cache-misses                                                
#           time             counts unit events
     5.066492340            107,230      cache-misses                                                
     5.116630892            111,823      cache-misses                                                
     5.166807153            114,724      cache-misses                                                
     5.216976731            112,623      cache-misses                                                
     5.267155916            110,878      cache-misses                                                
     5.317327687            113,295      cache-misses                                                
     5.367501432            108,752      cache-misses                                                
     5.417682184            111,284      cache-misses                                                
     5.467823618            107,159      cache-misses                                                
     5.517951710            113,479      cache-misses                                                
     5.568075303            104,169      cache-misses                                                
     5.618190690            112,965      cache-misses                                                
     5.668308520            112,583      cache-misses                                                
     5.718429299            140,406      cache-misses                                                
     5.768543707            114,787      cache-misses                                                
     5.818670921            109,394      cache-misses                                                
     5.868793416            105,638      cache-misses                                                
     5.918918400            116,365      cache-misses                                                
     5.969034251            113,504      cache-misses                                                
     6.019158499            109,514      cache-misses                                                
     6.069278515            109,708      cache-misses                                                
     6.119398972            114,126      cache-misses                                                
     6.169524561            112,081      cache-misses                                                
     6.219640891            103,689      cache-misses                                                
     6.269761844            114,798      cache-misses                                                
#           time             counts unit events
     6.319878413            112,744      cache-misses                                                
     6.369997917            114,893      cache-misses                                                
     6.420120011            112,155      cache-misses                                                
     6.470258639            110,760      cache-misses                                                
     6.520395576            114,782      cache-misses                                                
     6.570513732             99,897      cache-misses                                                
