#           time             counts unit events
     0.050118648          3,494,983      branch-misses                                               
     0.100335103          3,695,124      branch-misses                                               
     0.150500226          3,713,819      branch-misses                                               
     0.200658515          3,503,131      branch-misses                                               
     0.250783183          3,479,886      branch-misses                                               
     0.300953122          3,860,955      branch-misses                                               
     0.351122037          3,519,393      branch-misses                                               
     0.401286439          3,419,333      branch-misses                                               
     0.451445108          3,291,152      branch-misses                                               
     0.501603269          3,278,951      branch-misses                                               
     0.551757175          3,323,089      branch-misses                                               
     0.601912281          3,219,551      branch-misses                                               
     0.652079173          3,273,722      branch-misses                                               
     0.702233507          3,295,626      branch-misses                                               
     0.752389186          3,230,236      branch-misses                                               
     0.802554976          3,360,299      branch-misses                                               
     0.852726743          3,170,246      branch-misses                                               
     0.902883463          3,297,924      branch-misses                                               
     0.953047159          3,245,577      branch-misses                                               
     1.003209858          3,317,119      branch-misses                                               
     1.053380514          3,303,096      branch-misses                                               
     1.103552041          2,863,898      branch-misses                                               
     1.153723621          2,517,350      branch-misses                                               
     1.203892195          2,737,371      branch-misses                                               
     1.254008809          2,484,229      branch-misses                                               
#           time             counts unit events
     1.304175966          2,470,984      branch-misses                                               
     1.354343968          2,487,533      branch-misses                                               
     1.404508696          2,901,223      branch-misses                                               
     1.454666965          3,348,513      branch-misses                                               
     1.504830215          3,102,269      branch-misses                                               
     1.554996354          3,060,230      branch-misses                                               
     1.605157303          3,065,206      branch-misses                                               
     1.655325522          3,152,376      branch-misses                                               
     1.705487019          3,149,369      branch-misses                                               
     1.755648476          3,218,809      branch-misses                                               
     1.805831090          3,268,470      branch-misses                                               
     1.855950804          3,451,242      branch-misses                                               
     1.906110338          3,211,752      branch-misses                                               
     1.956291204          3,125,457      branch-misses                                               
     2.006459232          3,095,764      branch-misses                                               
     2.056618326          3,073,560      branch-misses                                               
     2.106737514          3,144,269      branch-misses                                               
     2.156906397          3,339,314      branch-misses                                               
     2.207082024          3,242,256      branch-misses                                               
     2.257245004          3,251,561      branch-misses                                               
     2.307361516          3,240,345      branch-misses                                               
     2.357523123          3,271,730      branch-misses                                               
     2.407686247          3,139,722      branch-misses                                               
     2.457860856          3,327,211      branch-misses                                               
     2.507977035          3,204,817      branch-misses                                               
#           time             counts unit events
     2.558136777          3,210,324      branch-misses                                               
     2.608312422          3,193,246      branch-misses                                               
     2.658474492          3,236,813      branch-misses                                               
     2.708647898          3,277,604      branch-misses                                               
     2.758821957          3,249,822      branch-misses                                               
     2.808993765          3,324,746      branch-misses                                               
     2.859170566          3,334,732      branch-misses                                               
     2.909328686          3,298,695      branch-misses                                               
     2.959489997          3,182,122      branch-misses                                               
     3.009664671          3,276,580      branch-misses                                               
     3.059825269          3,166,337      branch-misses                                               
     3.109994835          3,402,243      branch-misses                                               
     3.160172120          3,139,689      branch-misses                                               
     3.210335958          3,100,006      branch-misses                                               
     3.260505046          3,141,832      branch-misses                                               
     3.310684838          3,153,341      branch-misses                                               
     3.360859841          3,152,086      branch-misses                                               
     3.411026930          3,110,365      branch-misses                                               
     3.461202831          3,147,163      branch-misses                                               
     3.511362450          3,179,104      branch-misses                                               
     3.561542872          3,163,532      branch-misses                                               
     3.611714602          3,153,141      branch-misses                                               
     3.661897423          3,103,264      branch-misses                                               
     3.712073154          3,102,559      branch-misses                                               
     3.762251882          3,103,854      branch-misses                                               
#           time             counts unit events
     3.812417896          3,153,480      branch-misses                                               
     3.862590601          3,128,419      branch-misses                                               
     3.912757505          3,134,196      branch-misses                                               
     3.962923856          3,172,881      branch-misses                                               
     4.013089688          3,093,294      branch-misses                                               
     4.063256272          3,077,638      branch-misses                                               
     4.113428040          3,298,393      branch-misses                                               
     4.163598491          3,475,659      branch-misses                                               
     4.213771569          3,220,686      branch-misses                                               
     4.263962966          3,154,637      branch-misses                                               
     4.314132639          3,656,696      branch-misses                                               
     4.364310009          3,589,709      branch-misses                                               
     4.414478794          3,304,091      branch-misses                                               
     4.464648908          2,511,338      branch-misses                                               
     4.514837496          3,016,719      branch-misses                                               
     4.565007952          3,465,076      branch-misses                                               
     4.615190860          3,517,709      branch-misses                                               
     4.665366980          3,953,266      branch-misses                                               
     4.715536617          3,977,483      branch-misses                                               
     4.765704876          3,357,516      branch-misses                                               
     4.815890965          2,991,233      branch-misses                                               
     4.866062844          2,793,224      branch-misses                                               
     4.916240684          3,440,662      branch-misses                                               
     4.966428797          3,381,531      branch-misses                                               
     5.016613374          3,507,778      branch-misses                                               
#           time             counts unit events
     5.066742476          3,287,263      branch-misses                                               
     5.116927252          3,353,380      branch-misses                                               
     5.167099295          3,227,432      branch-misses                                               
     5.217278609          3,504,204      branch-misses                                               
     5.267483772          3,206,551      branch-misses                                               
     5.317665772          3,515,196      branch-misses                                               
     5.367840921          3,245,479      branch-misses                                               
     5.418023255          3,534,470      branch-misses                                               
     5.468249824          3,253,259      branch-misses                                               
     5.518427725          3,507,363      branch-misses                                               
     5.568597365          3,275,843      branch-misses                                               
     5.618793469          3,307,123      branch-misses                                               
     5.668916119          2,924,809      branch-misses                                               
     5.719092520          3,003,630      branch-misses                                               
     5.769214357          3,378,843      branch-misses                                               
     5.819340567          3,401,726      branch-misses                                               
     5.869468084          3,323,153      branch-misses                                               
     5.919604175          3,319,984      branch-misses                                               
     5.969734906          3,293,187      branch-misses                                               
     6.019873126          3,581,571      branch-misses                                               
     6.070008537          3,216,476      branch-misses                                               
     6.120185878          3,307,519      branch-misses                                               
     6.170364196          3,539,528      branch-misses                                               
     6.220531863          3,282,687      branch-misses                                               
     6.270681592          3,278,891      branch-misses                                               
#           time             counts unit events
     6.320855525          3,303,823      branch-misses                                               
     6.370994687          3,379,000      branch-misses                                               
     6.421128819          3,244,373      branch-misses                                               
     6.471239175          3,394,211      branch-misses                                               
     6.521351907          2,765,365      branch-misses                                               
     6.571461730          3,377,919      branch-misses                                               
     6.621563010          3,490,125      branch-misses                                               
     6.671664495          2,951,627      branch-misses                                               
     6.721769623          3,131,152      branch-misses                                               
     6.771868259          3,297,760      branch-misses                                               
     6.821976318          3,235,559      branch-misses                                               
     6.872112224          3,240,659      branch-misses                                               
     6.922227663          3,448,155      branch-misses                                               
     6.972338749          3,322,792      branch-misses                                               
     7.022449158          3,130,156      branch-misses                                               
     7.072557583          3,218,837      branch-misses                                               
     7.122669026          3,199,196      branch-misses                                               
     7.172778867          3,141,953      branch-misses                                               
     7.222887147          3,319,206      branch-misses                                               
     7.272989433          3,282,819      branch-misses                                               
     7.323095814          3,310,061      branch-misses                                               
     7.373220215          3,357,094      branch-misses                                               
     7.423320359          3,414,763      branch-misses                                               
     7.473429293          3,500,059      branch-misses                                               
     7.523567144          3,362,050      branch-misses                                               
#           time             counts unit events
     7.573673614          3,381,691      branch-misses                                               
     7.623787871          3,429,037      branch-misses                                               
     7.673888040          3,360,241      branch-misses                                               
     7.723994341          3,400,748      branch-misses                                               
     7.774107856          3,439,159      branch-misses                                               
     7.824237194          3,369,203      branch-misses                                               
     7.874350188          3,284,432      branch-misses                                               
     7.924454822          3,298,577      branch-misses                                               
     7.974556199          3,185,570      branch-misses                                               
     8.024661190          3,201,767      branch-misses                                               
     8.074773475          3,328,121      branch-misses                                               
     8.124883315          3,153,166      branch-misses                                               
     8.174985656          3,323,372      branch-misses                                               
     8.225107583          3,269,660      branch-misses                                               
     8.275213001          3,091,957      branch-misses                                               
     8.325325662          3,281,211      branch-misses                                               
     8.375432716          3,281,846      branch-misses                                               
     8.425544703          3,234,546      branch-misses                                               
     8.475646970          3,302,970      branch-misses                                               
     8.525755808          3,277,113      branch-misses                                               
     8.575858437          3,231,067      branch-misses                                               
     8.625966798          3,309,993      branch-misses                                               
     8.676064820          3,306,367      branch-misses                                               
     8.726169081          3,125,203      branch-misses                                               
     8.776287855          3,243,244      branch-misses                                               
#           time             counts unit events
     8.826393628          3,207,897      branch-misses                                               
     8.876491963          3,136,782      branch-misses                                               
     8.926601358          3,233,812      branch-misses                                               
     8.976726171          3,090,527      branch-misses                                               
     9.026834093          3,083,369      branch-misses                                               
     9.076936629          3,173,601      branch-misses                                               
     9.127047665          3,091,883      branch-misses                                               
     9.177150833          3,042,488      branch-misses                                               
     9.227253858          3,071,843      branch-misses                                               
     9.277354501          3,080,863      branch-misses                                               
     9.327463243          3,080,858      branch-misses                                               
     9.377573658          3,210,897      branch-misses                                               
     9.427677816          3,072,392      branch-misses                                               
     9.477785015          3,051,583      branch-misses                                               
     9.527887787          3,075,558      branch-misses                                               
     9.578004471          3,063,615      branch-misses                                               
     9.628116359          3,066,275      branch-misses                                               
     9.678221515          3,091,243      branch-misses                                               
     9.728334284          3,121,969      branch-misses                                               
     9.778444392          3,110,869      branch-misses                                               
     9.828546632          3,088,868      branch-misses                                               
     9.878661036          3,058,008      branch-misses                                               
     9.928770519          3,091,922      branch-misses                                               
