#           time             counts unit events
     0.050121942         30,892,607      branches                                                    
     0.100337685         31,011,810      branches                                                    
     0.150455857         31,610,517      branches                                                    
     0.200622041         30,775,028      branches                                                    
     0.250737962         30,302,069      branches                                                    
     0.300855201         29,600,201      branches                                                    
     0.350976798         30,445,180      branches                                                    
     0.401141722         31,611,885      branches                                                    
     0.451260791         34,950,244      branches                                                    
     0.501422640         36,282,926      branches                                                    
     0.551535171         35,173,132      branches                                                    
     0.601695865         35,271,763      branches                                                    
     0.651854330         34,754,292      branches                                                    
     0.702009666         35,086,700      branches                                                    
     0.752169275         35,639,936      branches                                                    
     0.802333795         34,604,026      branches                                                    
     0.852489549         35,934,834      branches                                                    
     0.902618513         34,648,991      branches                                                    
     0.952782800         34,876,880      branches                                                    
     1.002898804         34,415,715      branches                                                    
     1.053065141         34,467,687      branches                                                    
     1.103232060         33,686,711      branches                                                    
     1.153401780         30,127,524      branches                                                    
     1.203523703         33,599,977      branches                                                    
     1.253688027         40,830,735      branches                                                    
#           time             counts unit events
     1.303805888         41,116,529      branches                                                    
     1.353978846         41,078,471      branches                                                    
     1.404144228         35,966,037      branches                                                    
     1.454306206         34,327,956      branches                                                    
     1.504469791         36,190,732      branches                                                    
     1.554627690         36,396,695      branches                                                    
     1.604785008         36,173,067      branches                                                    
     1.654891949         35,377,520      branches                                                    
     1.705025369         35,475,121      branches                                                    
     1.755199650         34,935,745      branches                                                    
     1.805365086         34,448,631      branches                                                    
     1.855533045         33,021,165      branches                                                    
     1.905648474         34,888,855      branches                                                    
     1.955813404         35,664,428      branches                                                    
     2.005977791         36,120,011      branches                                                    
     2.056141841         35,862,227      branches                                                    
     2.106322409         35,596,819      branches                                                    
     2.156495617         33,974,831      branches                                                    
     2.206661070         34,789,239      branches                                                    
     2.256834098         34,680,428      branches                                                    
     2.307001495         34,848,437      branches                                                    
     2.357161137         34,450,080      branches                                                    
     2.407342319         35,383,187      branches                                                    
     2.457512683         34,150,937      branches                                                    
     2.507682495         34,943,659      branches                                                    
#           time             counts unit events
     2.557853800         34,853,417      branches                                                    
     2.608030343         35,193,097      branches                                                    
     2.658197731         34,754,818      branches                                                    
     2.708374409         34,662,812      branches                                                    
     2.758540230         34,762,408      branches                                                    
     2.808708340         34,121,929      branches                                                    
     2.858876301         33,973,341      branches                                                    
     2.909062372         34,308,028      branches                                                    
     2.959236222         35,207,445      branches                                                    
     3.009410195         34,475,510      branches                                                    
     3.059578815         35,364,900      branches                                                    
     3.109747897         31,850,299      branches                                                    
     3.159917175         35,477,924      branches                                                    
     3.210088011         35,895,429      branches                                                    
     3.260268867         35,514,530      branches                                                    
     3.310436638         35,398,039      branches                                                    
     3.360603547         35,231,987      branches                                                    
     3.410786888         35,636,473      branches                                                    
     3.460954724         35,428,287      branches                                                    
     3.511121817         35,160,294      branches                                                    
     3.561289883         35,319,552      branches                                                    
     3.611429504         35,202,162      branches                                                    
     3.661609726         35,774,179      branches                                                    
     3.711795239         35,854,522      branches                                                    
     3.761978036         35,748,535      branches                                                    
#           time             counts unit events
     3.812144455         35,419,912      branches                                                    
     3.862344911         35,663,385      branches                                                    
     3.912528833         35,456,699      branches                                                    
     3.962717402         35,340,073      branches                                                    
     4.012845151         35,711,498      branches                                                    
     4.062968415         36,026,986      branches                                                    
     4.113096180         34,079,305      branches                                                    
     4.163270730         31,994,648      branches                                                    
     4.213403432         33,267,012      branches                                                    
     4.263578825         33,506,273      branches                                                    
     4.313708006         32,015,169      branches                                                    
     4.363838196         31,561,194      branches                                                    
     4.414015175         31,909,567      branches                                                    
     4.464187180         35,042,090      branches                                                    
     4.514306015         34,456,240      branches                                                    
     4.564481253         30,735,841      branches                                                    
